x,y,t
712,36,1440
710,68,1464
710,112,1490
710,156,1520
710,204,1530
712,236,1553
712,260,1577
712,282,1604
712,302,1628
712,322,1656
712,342,1678
710,362,1704
710,380,1730
710,398,1743
710,414,1770
710,426,1794
708,436,1821
708,444,1845
706,448,1858
702,452,1885
700,456,1910
696,458,1923
686,460,1947
668,462,1973
646,462,1999
612,454,2024
570,440,2049
524,426,2075
472,412,2088
420,404,2114
386,400,2139
358,398,2164
334,398,2178
310,398,2205
290,400,2229
274,402,2256
260,404,2279
248,406,2302
238,408,2319
228,410,2343
218,412,2370
198,416,2418
190,418,2440
184,418,2463
180,418,2502
174,418,2512
