x,y,t
24,28,5043
21,42,5066
18,59,5082
14,81,5099
11,105,5115
5,155,5132
3,177,5148
2,193,5168
2,207,5181
1,219,5198
1,232,5214
1,244,5231
2,256,5248
4,268,5264
5,279,5281
6,300,5298
7,309,5314
8,317,5331
10,333,5350
11,340,5367
12,346,5383
13,353,5399
16,366,5415
18,373,5431
21,381,5449
26,396,5465
28,403,5482
33,414,5499
36,423,5515
38,426,5533
39,428,5549
40,430,5566
42,432,5582
43,432,5599
44,433,5616
47,433,5632
49,433,5649
50,433,5665
54,432,5682
55,431,5699
57,430,5716
58,429,5732
62,427,5748
64,427,5765
67,426,5783
77,423,5799
85,420,5815
98,417,5832
136,412,5849
163,412,5865
194,415,5882
265,422,5899
294,423,5916
331,423,5933
345,423,5950
363,421,5965
372,420,5982
378,414,5999
387,412,6236
413,406,6249
448,402,6270
503,401,6283
578,404,6298
642,412,6316
681,418,6332
713,426,6349
724,428,6366
733,430,6383
747,433,6400
752,433,6415
756,434,6432
765,434,6448
769,433,6472
771,433,6486
773,433,6500
776,432,6515
777,432,6532
779,432,6549
781,432,6567
781,432,6582
779,431,6631
775,430,6648
769,429,6668
762,428,6682
753,427,6700
743,425,6716
724,420,6732
715,418,6749
709,416,6765
704,415,6782
698,414,6799
695,413,6815
690,411,6833
689,411,6849
688,411,6866
687,410,6882
