x,y,t
216,398,4375
228,397,4391
246,394,4401
265,392,4418
285,391,4435
315,390,4451
329,390,4468
343,389,4484
370,389,4502
382,390,4517
394,390,4534
405,390,4551
422,388,4567
428,387,4585
432,386,4601
444,383,4872
465,380,4884
489,377,4901
515,376,4918
541,376,4934
561,378,4951
577,379,4967
594,381,4984
608,383,5000
621,384,5018
633,386,5035
654,390,5051
663,392,5069
673,393,5089
680,394,5102
688,395,5118
694,396,5135
699,397,5151
708,398,5168
711,399,5190
714,399,5204
716,399,5218
717,400,5234
718,400,5251
720,400,5269
720,400,5317
721,400,5334
721,400,5351
721,400,5368
722,400,5385
723,396,5402
725,388,5419
726,371,5435
726,350,5452
723,312,5468
717,250,5485
708,153,5501
706,128,5524
705,114,5537
704,103,5551
702,93,5568
701,85,5585
700,78,5602
699,72,5618
698,67,5635
697,63,5652
697,63,5916
699,59,5935
701,56,5951
703,53,5967
705,50,5984
706,48,6001
707,46,6018
708,45,6034
709,44,6051
710,42,6067
710,41,6086
711,40,6101
