x,y,t
30.66666603088379,46.66666793823242,4704
32,64,4717
32,88,4730
32,112,4741
32,134.6666717529297,4756
30.66666603088379,156,4768
30.66666603088379,180,4781
30.66666603088379,202.6666717529297,4807
29.33333396911621,225.3333282470703,4818
29.33333396911621,248,4833
29.33333396911621,268,4846
29.33333396911621,286.6666564941406,4858
30.66666603088379,305.3333435058594,4870
32,325.3333435058594,4883
33.33333206176758,342.6666564941406,4895
36,376,4909
37.33333206176758,389.3333435058594,4922
38.66666793823242,401.3333435058594,4934
40,412,4965
41.33333206176758,421.3333435058594,4966
42.66666793823242,428,4972
42.66666793823242,434.6666564941406,4987
44,440,4998
45.33333206176758,444,5011
45.33333206176758,448,5024
46.66666793823242,452,5037
46.66666793823242,453.3333435058594,5050
48,453.3333435058594,5063
48,454.6666564941406,5076
49.33333206176758,453.3333435058594,5125
53.33333206176758,453.3333435058594,5139
57.33333206176758,452,5152
70.66666412353516,446.6666564941406,5170
80,444,5182
92,441.3333435058594,5195
105.33333587646484,438.6666564941406,5207
125.33333587646484,434.6666564941406,5220
146.6666717529297,430.6666564941406,5234
214.6666717529297,421.3333435058594,5249
257.3333435058594,417.3333435058594,5262
300,416,5271
346.6666564941406,417.3333435058594,5283
381.3333435058594,420,5294
422.6666564941406,424,5305
456,428,5319
478.6666564941406,432,5332
497.3333435058594,436,5343
514.6666870117188,441.3333435058594,5358
530.6666870117188,442.6666564941406,5370
560,444,5382
573.3333129882812,444,5396
584,442.6666564941406,5409
593.3333129882812,441.3333435058594,5420
602.6666870117188,440,5435
612,438.6666564941406,5447
620,436,5458
634.6666870117188,432,5491
648,428,5499
653.3333129882812,426.6666564941406,5510
657.3333129882812,424,5523
661.3333129882812,422.6666564941406,5536
665.3333129882812,420,5550
669.3333129882812,418.6666564941406,5563
672,417.3333435058594,5575
673.3333129882812,414.6666564941406,5587
676,413.3333435058594,5600
677.3333129882812,409.3333435058594,5613
678.6666870117188,405.3333435058594,5626
680,402.6666564941406,5638
681.3333129882812,400,5651
681.3333129882812,397.3333435058594,5665
681.3333129882812,396,5682
682.6666870117188,394.6666564941406,5692
686.6666870117188,397.3333435058594,5818
690.6666870117188,398.6666564941406,5830
697.3333129882812,401.3333435058594,5843
704,402.6666564941406,5857
716,405.3333435058594,5868
721.3333129882812,406.6666564941406,5881
724,408,5895
728,409.3333435058594,5911
729.3333129882812,409.3333435058594,5919
732,410.6666564941406,5933
733.3333129882812,410.6666564941406,5946
734.6666870117188,412,5960
736,412,5971
737.3333129882812,413.3333435058594,6008
737.3333129882812,416,6026
737.3333129882812,417.3333435058594,6034
737.3333129882812,418.6666564941406,6073
