x,y,t
202,303,2521
199,316,2537
197,330,2554
195,346,2570
193,362,2588
192,379,2604
192,396,2620
192,413,2637
192,427,2653
193,441,2670
194,466,2687
194,478,2704
195,488,2720
196,507,2737
196,525,2754
197,532,2770
198,539,2787
199,550,2804
200,555,2820
201,560,2837
204,570,2853
206,576,2870
207,582,2887
210,593,2904
211,597,2920
212,602,2937
213,606,2953
214,610,2970
215,615,2987
216,619,3004
216,621,3020
216,622,3037
217,624,3054
218,624,3070
220,626,3087
222,626,3109
224,626,3121
227,626,3137
230,626,3154
234,626,3171
241,625,3187
246,625,3203
250,624,3220
265,621,3237
271,618,3254
278,616,3270
291,609,3287
299,606,3304
305,603,3321
319,597,3338
326,595,3354
334,593,3371
341,591,3387
362,587,3404
369,586,3421
375,585,3438
387,583,3454
393,582,3472
398,582,3489
408,581,3506
413,581,3521
419,580,3538
423,580,3555
436,579,3571
440,579,3587
444,580,3604
451,580,3622
455,581,3637
459,581,3654
462,582,3671
469,583,3688
473,583,3704
478,583,3721
482,583,3738
483,583,3754
484,583,3772
485,583,3789
