x,y,t
762,164,1588
762,176,1604
761,193,1621
761,208,1638
763,252,1655
765,276,1672
766,295,1687
770,326,1704
775,349,1728
778,359,1738
802,417,1755
800,424,2008
799,434,2030
796,447,2042
793,462,2065
790,474,2078
787,487,2091
784,499,2117
781,512,2138
778,524,2154
775,535,2171
771,546,2188
768,556,2205
762,578,2221
759,588,2237
756,598,2256
754,607,2271
751,623,2287
750,631,2304
749,640,2322
749,657,2337
750,666,2354
750,675,2371
752,691,2388
753,698,2404
754,704,2421
756,718,2438
757,721,2454
757,723,2471
758,727,2491
759,728,2504
759,729,2522
760,729,2553
761,729,2570
762,728,2587
763,727,2604
764,727,2621
764,726,2638
765,725,2654
765,725,2674
765,724,2695
765,723,2737
764,722,2754
761,721,2773
745,720,2787
731,718,2804
714,713,2820
675,702,2837
654,696,2854
634,690,2875
616,686,2888
600,683,2904
586,680,2920
574,679,2937
551,678,2955
541,678,2971
531,678,2989
513,678,3004
506,678,3021
497,676,3037
490,675,3054
482,672,3071
473,669,3087
465,666,3104
457,663,3120
449,660,3138
442,658,3154
429,654,3171
422,652,3187
416,650,3204
410,649,3221
404,647,3239
399,646,3255
390,643,3270
386,642,3288
382,641,3304
378,641,3323
375,640,3338
371,639,3355
367,638,3371
360,636,3388
355,636,3404
351,635,3421
344,635,3437
341,636,3460
339,637,3474
337,638,3490
336,638,3505
335,638,3521
335,638,3541
