x,y,t
224,215,673
223,227,689
221,247,705
218,271,724
212,296,739
206,324,756
199,352,773
190,380,790
183,404,806
180,415,823
172,442,838
169,458,857
167,471,872
167,483,890
169,488,906
173,495,924
181,502,940
194,508,956
210,513,973
232,517,990
256,518,1007
285,518,1023
316,515,1039
348,512,1056
379,509,1073
411,508,1091
447,506,1106
485,504,1123
522,502,1141
556,500,1161
587,497,1177
619,496,1191
650,496,1206
682,498,1224
711,500,1240
735,503,1257
755,509,1274
770,513,1291
782,519,1308
793,525,1323
805,531,1341
815,537,1358
819,539,1374
824,541,1390
