x,y,t
107,243,875
105,251,892
104,261,909
104,274,928
104,290,942
106,312,963
110,337,978
112,364,993
115,388,1011
117,400,1026
119,432,1044
120,450,1060
121,462,1076
123,474,1093
129,485,1110
136,496,1126
147,505,1145
162,512,1159
182,519,1177
209,522,1193
238,524,1212
267,524,1229
302,524,1243
337,522,1261
373,520,1278
410,519,1293
449,518,1310
488,516,1326
527,513,1343
565,512,1360
599,511,1378
634,511,1394
665,511,1410
694,511,1428
719,511,1445
740,512,1460
751,513,1477
757,513,1494
760,513,1511
