x,y,t
28,34,2803
26,49,2824
25,65,2843
23,84,2858
21,109,2874
20,135,2891
19,159,2908
19,180,2924
18,202,2941
24,255,2958
30,285,2976
35,308,2991
42,335,3008
45,345,3024
47,354,3041
50,366,3058
51,370,3074
52,374,3091
53,377,3107
54,381,3124
54,382,3142
55,384,3158
55,385,3174
56,387,3191
63,388,3207
70,388,3224
93,388,3241
107,387,3257
122,385,3274
160,381,3290
178,379,3308
192,377,3326
219,374,3341
230,374,3642
252,374,3659
293,375,3675
352,378,3692
400,381,3711
439,385,3724
480,390,3741
517,395,3758
541,399,3775
557,401,3791
569,404,3808
580,406,3824
595,413,3842
600,412,4074
610,410,4091
620,409,4109
631,409,4124
642,410,4141
652,410,4158
662,410,4174
670,411,4191
677,411,4208
682,411,4224
686,411,4241
690,411,4258
695,412,4275
698,412,4291
702,412,4307
705,412,4324
708,412,4341
710,412,4358
712,412,4376
714,412,4392
715,411,4408
716,411,4424
717,411,4441
718,411,4458
718,411,4474
719,411,4490
719,411,4507
