x,y,t
195,403,2097
201,403,2113
209,403,2130
225,403,2146
263,403,2163
290,404,2179
327,405,2196
386,410,2213
416,413,2229
445,417,2246
468,420,2263
510,430,2279
527,435,2296
543,440,2313
570,448,2330
580,451,2346
590,453,2363
597,454,2380
602,455,2396
610,450,2609
623,444,2629
639,436,2646
656,426,2662
669,419,2679
683,411,2698
695,404,2713
705,397,2730
715,389,2746
723,381,2763
731,373,2779
736,362,2796
739,343,2813
734,294,2830
712,213,2846
683,132,2863
664,77,2881
656,51,2896
650,27,2913
647,13,2931
646,3,2946
645,-4,2962
644,-11,2978
647,-10,3229
653,-6,3251
660,-2,3273
667,2,3286
674,6,3298
681,10,3325
688,14,3337
694,17,3350
699,20,3375
704,22,3395
708,24,3412
711,25,3429
714,26,3446
716,27,3463
718,28,3479
719,28,3496
720,28,3512
721,28,3532
722,28,3547
722,28,3563
723,28,3579
723,28,3600
723,28,3622
723,28,3645
