x,y,t
771,357,2549
771,357,2566
770,357,2592
769,357,2624
768,357,2664
762,361,2688
751,367,2698
742,373,2714
733,376,2732
725,378,2748
719,381,2764
711,383,2781
703,386,2799
693,388,2814
681,391,2831
668,393,2848
655,395,2864
640,397,2881
626,399,2897
612,400,2915
597,402,2932
579,403,2949
558,404,2965
539,405,2982
518,407,2998
497,408,3016
473,411,3032
451,412,3050
429,414,3066
406,417,3083
383,419,3098
352,422,3123
342,422,3134
322,422,3150
303,423,3165
282,424,3185
260,424,3199
240,425,3216
220,425,3233
200,425,3250
181,425,3267
164,424,3283
150,422,3299
137,419,3317
127,415,3333
118,412,3350
112,408,3366
107,403,3383
103,399,3400
101,396,3416
99,391,3436
96,383,3450
94,377,3466
91,364,3482
90,349,3500
89,341,3516
88,324,3532
87,309,3549
87,295,3566
87,281,3584
86,268,3599
85,256,3616
84,244,3633
83,232,3649
83,220,3665
82,209,3682
82,199,3700
82,188,3716
81,178,3739
80,168,3751
80,158,3767
79,148,3784
78,139,3800
77,131,3817
76,121,3834
75,112,3850
74,102,3867
73,92,3884
73,82,3901
71,71,3917
70,59,3934
70,49,3951
69,43,3967
69,37,3984
69,34,4003
69,31,4019
69,29,4032
