x,y,t
199,436,23726
199,436,23743
199,435,23762
199,434,23787
200,434,23795
203,434,23812
209,434,23827
222,435,23844
245,436,23861
272,436,23880
304,436,23895
339,435,23911
373,434,23928
407,432,23947
441,432,23960
475,432,23978
509,432,23995
543,432,24014
576,432,24027
607,430,24045
636,427,24062
662,422,24078
682,416,24097
697,411,24111
709,403,24129
714,398,24146
722,389,24162
728,375,24178
734,357,24196
739,335,24215
742,309,24228
744,277,24246
746,240,24262
749,191,24280
750,141,24295
749,95,24312
745,57,24330
741,29,24346
736,11,24364
732,0,24379
729,-5,24396
728,-7,24413
