x,y,t
481.3333435058594,476,1251
489.3333435058594,472,1264
497.3333435058594,469.3333435058594,1275
508,465.3333435058594,1288
518.6666870117188,462.6666564941406,1302
542.6666870117188,456,1317
554.6666870117188,452,1330
566.6666870117188,449.3333435058594,1339
578.6666870117188,446.6666564941406,1353
589.3333129882812,444,1366
598.6666870117188,441.3333435058594,1379
614.6666870117188,438.6666564941406,1392
620,437.3333435058594,1404
625.3333129882812,436,1418
629.3333129882812,434.6666564941406,1432
632,434.6666564941406,1443
636,434.6666564941406,1455
644,433.3333435058594,1468
648,433.3333435058594,1482
653.3333129882812,433.3333435058594,1494
657.3333129882812,433.3333435058594,1506
661.3333129882812,432,1520
665.3333129882812,432,1533
672,432,1546
674.6666870117188,432,1558
678.6666870117188,432,1570
682.6666870117188,432,1584
686.6666870117188,433.3333435058594,1599
690.6666870117188,433.3333435058594,1608
697.3333129882812,433.3333435058594,1622
698.6666870117188,434.6666564941406,1635
701.3333129882812,434.6666564941406,1650
704,434.6666564941406,1661
704,436,1673
706.6666870117188,436,1685
708,437.3333435058594,1700
709.3333129882812,438.6666564941406,1712
709.3333129882812,440,1724
710.6666870117188,442.6666564941406,1737
712,445.3333435058594,1751
714.6666870117188,448,1763
717.3333129882812,453.3333435058594,1776
718.6666870117188,456,1788
720,457.3333435058594,1802
721.3333129882812,458.6666564941406,1817
721.3333129882812,460,1826
722.6666870117188,461.3333435058594,1848
724,465.3333435058594,1853
725.3333129882812,466.6666564941406,1867
726.6666870117188,468,1878
726.6666870117188,469.3333435058594,1891
728,470.6666564941406,1904
728,472,1918
729.3333129882812,473.3333435058594,1933
730.6666870117188,476,1942
732,477.3333435058594,1954
732,478.6666564941406,1968
733.3333129882812,480,1982
733.3333129882812,481.3333435058594,2005
734.6666870117188,481.3333435058594,2020
734.6666870117188,484,2034
734.6666870117188,486.6666564941406,2069
734.6666870117188,489.3333435058594,2084
734.6666870117188,492,2097
736,498.6666564941406,2113
734.6666870117188,504,2123
734.6666870117188,509.3333435058594,2136
733.3333129882812,516,2152
729.3333129882812,528,2169
726.6666870117188,534.6666870117188,2185
725.3333129882812,541.3333129882812,2190
722.6666870117188,548,2204
721.3333129882812,554.6666870117188,2217
717.3333129882812,561.3333129882812,2224
714.6666870117188,569.3333129882812,2236
710.6666870117188,577.3333129882812,2251
704,590.6666870117188,2261
701.3333129882812,597.3333129882812,2274
697.3333129882812,605.3333129882812,2287
692,612,2301
688,617.3333129882812,2317
684,624,2325
680,630.6666870117188,2338
670.6666870117188,642.6666870117188,2365
661.3333129882812,653.3333129882812,2375
656,658.6666870117188,2389
652,664,2402
648,669.3333129882812,2419
638.6666870117188,678.6666870117188,2428
634.6666870117188,682.6666870117188,2441
629.3333129882812,688,2453
624,692,2467
618.6666870117188,697.3333129882812,2482
612,701.3333129882812,2491
597.3333129882812,708,2504
589.3333129882812,712,2517
580,714.6666870117188,2530
572,717.3333129882812,2542
562.6666870117188,720,2556
554.6666870117188,722.6666870117188,2568
537.3333129882812,726.6666870117188,2583
529.3333129882812,728,2593
521.3333129882812,730.6666870117188,2606
513.3333129882812,732,2620
506.6666564941406,734.6666870117188,2633
493.3333435058594,737.3333129882812,2646
488,740,2658
482.6666564941406,741.3333129882812,2671
478.6666564941406,742.6666870117188,2684
473.3333435058594,744,2699
469.3333435058594,745.3333129882812,2710
460,748,2721
456,749.3333129882812,2735
452,750.6666870117188,2749
449.3333435058594,750.6666870117188,2760
445.3333435058594,752,2774
444,752,2786
442.6666564941406,752,2801
441.3333435058594,752,2824
