x,y,t
177,185,1403
175,200,1419
172,217,1437
168,241,1453
166,265,1470
165,305,1487
165,320,1503
165,348,1528
165,360,1540
166,371,1552
166,381,1574
167,390,1586
168,398,1602
168,406,1619
168,412,1636
168,418,1652
168,425,1669
168,435,1686
168,440,1703
167,443,1722
167,448,1736
167,451,1753
167,455,1770
167,457,1786
167,463,1803
167,467,1819
167,471,1836
167,473,1852
168,475,1869
168,476,1885
170,477,1902
170,478,1919
171,478,1941
172,478,1954
173,478,1969
176,477,1991
180,476,2004
183,473,2020
190,471,2036
198,467,2052
222,460,2069
236,456,2086
251,451,2103
265,448,2119
296,442,2136
311,440,2153
326,437,2169
338,436,2186
351,436,2204
365,435,2219
391,433,2236
403,432,2253
413,432,2268
435,432,2288
443,433,2302
452,435,2319
460,435,2336
475,436,2352
481,437,2369
487,438,2385
492,438,2402
501,441,2419
505,441,2436
507,442,2453
513,443,2469
516,445,2486
518,445,2502
523,446,2519
528,448,2536
530,450,2553
532,450,2569
535,451,2586
536,451,2602
537,452,2619
537,452,2636
