x,y,t
708,170,3089
707,177,3101
706,186,3115
703,197,3129
702,210,3146
700,225,3165
698,238,3179
697,255,3195
696,270,3212
695,286,3230
693,316,3245
692,331,3262
692,347,3278
692,377,3295
692,393,3312
691,406,3329
691,431,3345
691,441,3364
691,460,3379
692,476,3396
692,485,3413
692,491,3429
691,505,3447
691,510,3462
690,517,3479
688,520,3495
687,522,3513
687,523,3528
685,521,3578
683,518,3596
676,512,3612
662,506,3629
652,502,3648
643,500,3662
618,496,3679
603,493,3695
590,492,3712
556,491,3729
522,490,3746
507,490,3762
491,490,3780
458,491,3796
443,491,3812
430,492,3829
392,495,3845
381,496,3862
372,497,3881
355,498,3896
348,498,3912
343,498,3929
338,500,3946
336,500,3961
332,500,3979
