x,y,t
707,163,2686
706,172,2710
703,191,2723
701,213,2736
698,242,2761
697,272,2775
695,316,2787
692,375,2800
692,395,2813
692,413,2825
693,430,2838
693,445,2852
695,461,2864
696,477,2878
696,492,2890
697,506,2903
697,518,2915
697,530,2928
697,540,2941
696,548,2953
695,557,2966
692,566,2979
688,576,2993
685,585,3005
678,593,3019
671,601,3034
665,608,3046
655,616,3074
645,622,3075
621,633,3092
607,637,3105
595,641,3115
581,643,3126
567,646,3137
553,648,3147
540,650,3161
527,651,3170
515,651,3182
502,651,3195
488,651,3208
476,650,3221
465,648,3233
455,647,3246
446,646,3262
438,646,3271
431,645,3285
425,643,3297
421,641,3309
418,640,3323
416,640,3612
410,641,3634
403,643,3644
396,645,3657
390,646,3669
383,646,3682
378,647,3695
375,647,3708
371,647,3721
368,648,3733
367,648,3746
365,648,3760
365,648,3771
363,648,3784
363,648,3797
362,648,3809
361,648,3822
360,648,3836
360,648,3849
360,648,3862
360,648,3899
358,648,3912
358,648,3926
358,650,3937
