x,y,t
128,112,2638
128,118,2651
128,138,2693
128,150,2701
128,161,2736
130,173,2745
130,185,2757
130,198,2766
131,211,2778
131,223,2804
132,235,2816
132,245,2829
135,263,2855
136,275,2870
137,285,2881
138,295,2895
140,305,2907
141,313,2920
142,323,2931
143,332,2945
145,342,2959
146,362,2970
147,371,2983
150,381,2996
151,392,3009
152,403,3023
153,415,3035
156,427,3047
158,440,3061
161,451,3074
162,461,3086
165,470,3098
166,476,3112
167,481,3125
168,487,3138
172,486,3437
182,485,3449
192,482,3471
206,480,3482
220,477,3507
235,473,3519
252,471,3545
270,468,3560
286,465,3572
303,462,3597
321,461,3610
338,460,3637
355,457,3648
371,456,3660
387,455,3686
403,453,3698
417,452,3712
431,452,3725
443,451,3750
455,451,3764
465,451,3775
472,451,3788
480,451,3814
487,452,3827
495,455,3839
501,457,3865
508,461,3886
516,465,3890
523,470,3916
532,473,3930
540,476,3943
547,480,3966
553,482,3980
560,483,3995
565,486,4006
568,487,4031
571,488,4045
573,490,4060
575,490,4070
576,490,4096
