x,y,t
212,399,2734
234,395,2745
281,389,2757
335,388,2769
387,389,2783
425,395,2798
446,400,2807
457,403,2821
468,408,2835
478,411,2849
483,410,3099
494,405,3121
511,399,3133
530,394,3144
550,392,3154
566,390,3166
578,389,3182
589,389,3205
598,389,3218
605,389,3232
612,389,3246
617,389,3257
622,389,3269
626,389,3283
631,388,3298
635,388,3308
640,388,3320
645,389,3333
650,389,3348
654,390,3372
659,391,3384
663,392,3400
666,393,3412
670,394,3423
673,396,3435
676,397,3450
680,399,3464
684,401,3473
688,403,3487
691,405,3500
694,407,3516
696,408,3526
698,409,3538
699,410,3562
701,411,3564
702,413,3581
704,415,3589
705,416,3601
707,417,3616
708,418,3632
708,418,3640
709,419,3653
709,419,3667
710,419,3683
712,417,3699
712,412,3712
712,405,3723
713,396,3738
712,386,3750
710,375,3765
707,365,3773
703,354,3785
699,341,3799
693,326,3819
689,313,3833
685,300,3849
681,287,3859
677,275,3871
674,263,3884
671,251,3898
669,240,3910
668,228,3922
667,215,3935
668,203,3961
670,189,3973
674,172,3985
678,155,3999
687,128,4016
691,117,4023
694,109,4037
697,102,4050
700,96,4064
702,91,4081
703,89,4089
705,75,4100
704,73,4350
703,70,4361
701,68,4372
700,65,4383
699,62,4410
699,59,4421
698,56,4435
698,54,4449
698,52,4461
698,51,4473
698,49,4486
698,48,4500
699,46,4515
700,44,4524
701,42,4537
702,41,4564
703,40,4576
704,39,4595
705,38,4601
705,38,4616
706,37,4632
706,36,4640
