x,y,t
184.03330993652344,351.7483825683594,1562
205.7909393310547,345.40240478515625,1582
235.7076873779297,336.33673095703125,1600
270.1572570800781,328.1776123046875,1612
304.6068420410156,322.7381896972656,1630
337.2433166503906,320.92510986328125,1648
363.5337829589844,321.8316345214844,1663
388.0111083984375,328.1776123046875,1679
410.67535400390625,338.1498718261719,1696
430.61981201171875,352.6549377441406,1714
450.5643310546875,370.7863464355469,1730
472.3219299316406,390.7308349609375,1746
494.9861145019531,411.5818786621094,1763
521.276611328125,429.7132568359375,1779
548.4736328125,444.21832275390625,1799
576.5772705078125,453.2840270996094,1813
605.5874633789062,456.9103088378906,1830
627.3450317382812,456.0037536621094,1849
649.1026611328125,451.4708557128906,1865
668.140625,441.49859619140625,1879
684.4588623046875,426.99359130859375,1896
696.2442016601562,409.76873779296875,1913
703.4967651367188,391.63739013671875,1930
708.0296020507812,373.50604248046875,1948
711.6559448242188,352.6549377441406,1963
714.3756713867188,324.55133056640625,1980
718.9083862304688,288.28863525390625,1997
722.53466796875,249.3061981201172,2016
726.1609497070312,213.04348754882812,2030
729.7872924804688,181.3135986328125,2048
729.7872924804688,153.20999145507812,2063
728.8806762695312,136.8917694091797,2081
727.97412109375,123.29325103759766,2098
727.0675659179688,109.6947250366211,2115
724.347900390625,94.2830810546875,2132
724.347900390625,80.6845474243164,2145
