x,y,t
28,28,3233
27,48,3259
24,81,3288
20,124,3289
19,154,3310
19,178,3325
23,211,3339
34,254,3349
49,288,3360
67,315,3375
90,340,3390
116,360,3399
144,375,3413
162,383,3425
177,388,3462
218,395,3474
233,396,3485
245,396,3496
265,392,3508
287,387,3523
303,384,3544
320,380,3558
337,376,3574
353,371,3583
367,367,3596
379,364,3612
389,361,3627
398,358,3641
404,356,3650
410,355,3661
414,354,3673
415,353,3694
427,350,3894
453,344,3916
493,338,3927
529,336,3954
553,336,3963
569,336,3977
581,336,3992
591,337,4008
601,338,4015
611,340,4028
620,342,4055
628,344,4067
636,347,4079
642,349,4106
648,351,4118
654,354,4131
661,357,4156
668,360,4172
674,362,4182
679,366,4195
684,368,4207
689,372,4233
693,377,4246
696,381,4259
699,385,4285
701,389,4297
703,392,4320
705,393,4324
707,396,4348
709,398,4361
710,400,4374
712,402,4400
714,403,4412
715,404,4424
717,405,4441
717,405,4463
718,406,4476
719,407,4491
719,407,4514
719,407,4527
719,408,4541
