x,y,t
196,399,1299
202,398,1310
209,398,1325
218,397,1339
228,397,1353
240,396,1366
257,396,1378
279,395,1390
312,395,1401
347,395,1412
383,394,1424
416,394,1437
447,393,1450
472,392,1462
495,391,1475
509,391,1488
522,391,1501
533,390,1515
544,390,1526
552,389,1539
567,389,1763
594,389,1786
636,391,1797
670,392,1821
686,393,1834
697,393,1847
706,393,1874
714,393,1885
719,393,1912
724,394,1925
727,394,1936
730,395,1962
732,396,1980
733,397,1988
734,397,2000
735,398,2014
735,398,2040
735,399,2051
736,399,2064
736,400,2079
735,398,2142
733,385,2154
726,358,2179
716,316,2193
710,282,2217
707,254,2230
705,215,2245
706,172,2269
706,150,2281
706,139,2296
707,130,2320
708,122,2336
709,116,2352
711,105,2365
715,86,2379
715,84,2594
715,77,2616
716,72,2642
716,68,2650
716,64,2664
716,61,2691
716,59,2702
716,57,2715
716,55,2742
716,53,2753
714,49,2779
712,44,2792
708,39,2805
705,33,2830
702,27,2845
700,23,2868
699,19,2881
698,16,2897
697,14,2919
696,12,2932
696,11,2959
696,11,2971
