x,y,t
74,892,t
77,888,t
105,849,t
129,813,t
151,771,t
173,729,t
191,681,t
199,627,t
197,557,t
183,515,t
169,475,t
164,444,t
161,419,t
157,388,t
154,361,t
143,318,t
132,290,t
121,257,t
106,225,t
87,194,t
66,173,t
41,154,t
33,146,t
29,140,t
27,136,t
25,133,t
23,131,t
21,129,t
21,128,t
21,126,t
22,124,t
24,122,t
27,120,t
29,118,t
30,116,t
31,114,t
32,111,t
33,109,t
34,107,t
34,104,t
34,101,t
34,100,t
33,104,t
29,117,t
9,193,t
0,249,t
0,301,t
0,341,t
1,372,t
7,391,t
25,406,t
39,413,t
51,417,t
61,418,t
72,418,t
85,418,t
105,417,t
122,417,t
143,417,t
169,417,t
198,418,t
224,422,t
243,425,t
256,429,t
269,440,t
279,450,t
291,461,t
301,470,t
312,477,t
317,481,t
332,488,t
345,491,t
363,491,t
389,488,t
424,478,t
460,467,t
500,453,t
547,439,t
561,437,t
570,434,t
580,434,t
589,433,t
595,433,t
606,435,t
618,437,t
632,438,t
647,441,t
658,445,t
661,447,t
671,462,t
683,473,t
694,483,t
702,489,t
709,491,t
713,493,t
714,493,t
713,494,t
711,495,t
703,498,t
688,509,t
655,532,t
573,592,t
493,646,t
409,720,t
313,788,t
233,850,t
169,896,t
121,928,t
78,956,t
71,962,t
68,964,t
66,966,t
65,965,t
66,963,t
70,958,t
73,952,t
83,940,t
88,934,t
91,929,t
94,925,t
95,923,t
96,921,t
96,920,t
97,918,t
99,912,t
101,907,t
102,904,t
103,902,t
104,899,t
105,896,t
105,894,t
