x,y,t
811,58,t
813,46,t
833,12,t
725,16,t
677,42,t
629,70,t
517,126,t
419,176,t
331,224,t
293,244,t
189,296,t
159,310,t
140,319,t
132,323,t
127,326,t
120,333,t
93,368,t
71,404,t
60,427,t
58,435,t
58,440,t
64,447,t
71,455,t
82,467,t
93,481,t
96,490,t
98,499,t
101,506,t
103,508,t
104,507,t
105,504,t
106,502,t
108,500,t
109,498,t
110,498,t
111,497,t
113,495,t
115,494,t
125,490,t
132,488,t
142,486,t
160,484,t
179,483,t
207,483,t
222,486,t
239,489,t
256,491,t
268,494,t
276,495,t
281,497,t
292,503,t
306,511,t
330,520,t
362,528,t
402,530,t
444,524,t
486,512,t
546,488,t
583,468,t
618,454,t
651,443,t
676,432,t
695,425,t
717,415,t
728,411,t
736,409,t
740,409,t
743,409,t
744,410,t
748,413,t
752,417,t
754,419,t
756,420,t
757,420,t
758,415,t
758,400,t
754,381,t
746,359,t
735,335,t
732,317,t
728,292,t
725,277,t
725,265,t
725,258,t
726,250,t
729,242,t
732,231,t
734,223,t
737,213,t
739,204,t
741,199,t
742,193,t
745,183,t
746,177,t
746,171,t
745,165,t
743,160,t
736,152,t
732,148,t
729,143,t
726,139,t
724,135,t
722,132,t
722,127,t
722,123,t
722,119,t
721,116,t
720,111,t
718,107,t
718,105,t
718,105,t
717,106,t
714,110,t
700,126,t
682,151,t
651,182,t
615,216,t
575,262,t
533,320,t
479,392,t
405,528,t
351,616,t
295,688,t
243,752,t
223,778,t
165,842,t
135,872,t
101,895,t
89,901,t
80,903,t
72,905,t
69,906,t
67,906,t
64,906,t
63,905,t
61,906,t
60,906,t
59,906,t
58,906,t
57,905,t
59,903,t
63,900,t
70,895,t
72,893,t
73,893,t
