x,y,t
800,78,t
760,100,t
740,112,t
726,119,t
670,156,t
610,196,t
546,232,t
494,268,t
446,304,t
406,332,t
370,356,t
354,368,t
310,394,t
298,402,t
285,410,t
272,417,t
264,419,t
257,418,t
252,416,t
226,406,t
212,401,t
145,375,t
89,351,t
30,315,t
12,299,t
5,290,t
3,286,t
3,285,t
4,283,t
6,279,t
8,276,t
9,273,t
11,269,t
13,264,t
15,260,t
17,257,t
20,254,t
22,252,t
24,250,t
26,248,t
29,246,t
43,235,t
51,229,t
55,227,t
56,225,t
55,223,t
54,219,t
46,200,t
37,179,t
26,166,t
22,159,t
20,156,t
19,154,t
20,153,t
21,151,t
22,149,t
24,146,t
26,144,t
27,141,t
28,139,t
28,135,t
28,132,t
27,130,t
25,128,t
23,125,t
22,121,t
21,119,t
21,117,t
20,115,t
20,112,t
20,106,t
22,101,t
23,96,t
23,94,t
24,93,t
25,96,t
25,104,t
26,124,t
25,147,t
26,178,t
32,230,t
40,264,t
51,300,t
68,335,t
92,365,t
118,385,t
146,397,t
198,410,t
230,410,t
263,412,t
297,414,t
338,414,t
359,414,t
459,402,t
503,398,t
539,396,t
562,396,t
585,400,t
609,403,t
636,410,t
679,421,t
702,427,t
717,430,t
725,432,t
728,434,t
729,435,t
731,439,t
732,443,t
732,450,t
733,461,t
735,474,t
735,482,t
735,485,t
735,489,t
734,491,t
734,492,t
733,492,t
732,492,t
731,491,t
723,491,t
712,493,t
691,502,t
652,518,t
600,536,t
502,578,t
428,616,t
352,664,t
286,708,t
232,738,t
192,758,t
177,765,t
153,783,t
147,786,t
146,787,t
144,787,t
143,789,t
136,799,t
130,810,t
121,819,t
117,827,t
115,831,t
113,835,t
109,842,t
105,850,t
100,856,t
97,859,t
96,860,t
95,860,t
95,861,t
93,863,t
92,865,t
90,875,t
88,880,t
87,883,t
87,885,t
86,886,t
85,892,t
84,895,t
