x,y,t
83,894,t
82,893,t
81,892,t
80,891,t
79,890,t
78,888,t
76,886,t
75,884,t
74,879,t
74,873,t
74,864,t
76,850,t
79,830,t
87,794,t
97,751,t
107,709,t
115,641,t
125,587,t
135,543,t
144,516,t
147,500,t
149,492,t
152,486,t
153,484,t
153,482,t
154,480,t
154,479,t
160,479,t
167,478,t
191,475,t
227,471,t
268,471,t
334,477,t
376,481,t
412,483,t
456,487,t
498,491,t
542,493,t
581,495,t
626,504,t
653,511,t
670,515,t
688,521,t
704,524,t
721,528,t
729,530,t
734,530,t
734,529,t
736,526,t
737,522,t
739,514,t
742,507,t
744,499,t
745,490,t
746,481,t
745,472,t
742,459,t
741,440,t
738,417,t
734,383,t
725,336,t
723,322,t
720,297,t
717,274,t
712,234,t
708,206,t
701,178,t
693,155,t
686,141,t
683,129,t
680,115,t
678,106,t
678,100,t
678,96,t
679,93,t
683,87,t
685,83,t
687,81,t
689,80,t
690,79,t
692,79,t
691,85,t
689,92,t
681,116,t
666,152,t
654,176,t
606,262,t
568,322,t
526,380,t
454,464,t
410,514,t
362,566,t
312,604,t
268,636,t
235,658,t
203,680,t
184,696,t
167,708,t
158,718,t
153,724,t
151,726,t
150,727,t
147,734,t
147,742,t
147,747,t
147,750,t
148,754,t
148,756,t
148,761,t
147,769,t
147,775,t
147,779,t
147,782,t
147,784,t
146,785,t
145,787,t
143,791,t
138,800,t
135,812,t
132,821,t
129,834,t
127,840,t
125,846,t
124,851,t
123,853,t
123,854,t
122,855,t
121,856,t
120,856,t
120,857,t
119,858,t
118,859,t
116,860,t
114,862,t
109,868,t
102,875,t
97,881,t
94,884,t
91,886,t
91,887,t
91,888,t
91,889,t
91,891,t
91,892,t
