x,y,t
708,45.33333206176758,4481
706.6666870117188,53.33333206176758,4507
704,62.66666793823242,4520
701.3333129882812,73.33333587646484,4545
700,84,4557
697.3333129882812,97.33333587646484,4572
696,110.66666412353516,4596
694.6666870117188,124,4609
693.3333129882812,137.3333282470703,4634
692,149.3333282470703,4648
690.6666870117188,164,4674
689.3333129882812,178.6666717529297,4686
686.6666870117188,192,4712
685.3333129882812,205.3333282470703,4729
684,217.3333282470703,4739
682.6666870117188,232,4761
682.6666870117188,245.3333282470703,4773
682.6666870117188,270.6666564941406,4811
684,285.3333435058594,4840
684,300,4852
685.3333129882812,316,4865
686.6666870117188,330.6666564941406,4890
689.3333129882812,346.6666564941406,4903
690.6666870117188,358.6666564941406,4918
692,369.3333435058594,4928
694.6666870117188,380,4954
696,389.3333435058594,4966
698.6666870117188,396,4979
700,402.6666564941406,4992
701.3333129882812,408,5018
702.6666870117188,412,5031
704,416,5044
705.3333129882812,418.6666564941406,5056
706.6666870117188,421.3333435058594,5081
706.6666870117188,422.6666564941406,5095
708,424,5107
708,425.3333435058594,5119
708,426.6666564941406,5147
702.6666870117188,426.6666564941406,5235
688,426.6666564941406,5248
668,426.6666564941406,5273
640,426.6666564941406,5286
612,426.6666564941406,5299
578.6666870117188,426.6666564941406,5313
550.6666870117188,425.3333435058594,5347
490.6666564941406,421.3333435058594,5364
466.6666564941406,420,5376
448,418.6666564941406,5401
429.3333435058594,416,5415
409.3333435058594,413.3333435058594,5427
390.6666564941406,410.6666564941406,5452
372,409.3333435058594,5465
356,406.6666564941406,5480
338.6666564941406,404,5503
321.3333435058594,401.3333435058594,5517
305.3333435058594,398.6666564941406,5541
290.6666564941406,396,5555
276,394.6666564941406,5568
264,392,5594
252,390.6666564941406,5606
242.6666717529297,388,5619
233.3333282470703,386.6666564941406,5646
226.6666717529297,386.6666564941406,5656
221.3333282470703,385.3333435058594,5670
217.3333282470703,385.3333435058594,5696
214.6666717529297,385.3333435058594,5707
212,385.3333435058594,5721
210.6666717529297,385.3333435058594,5747
209.3333282470703,385.3333435058594,5759
208,386.6666564941406,5772
206.6666717529297,386.6666564941406,5800
205.3333282470703,388,5815
204,389.3333435058594,5829
202.6666717529297,392,5861
200,394.6666564941406,5868
198.6666717529297,397.3333435058594,5881
197.3333282470703,398.6666564941406,5893
196,400,5916
194.6666717529297,401.3333435058594,5939
193.3333282470703,402.6666564941406,5951
192,404,5965
192,405.3333435058594,6002
