x,y,t
5,5,0
706,34,2581
706,52,2594
704,74,2619
702,96,2633
702,118,2659
700,140,2672
698,164,2684
698,186,2710
696,206,2726
696,224,2749
696,242,2762
696,262,2780
696,282,2798
696,302,2810
696,320,2826
696,338,2843
696,354,2850
698,370,2862
698,384,2890
700,396,2900
700,408,2914
700,418,2929
700,430,2941
700,442,2951
700,452,2965
700,460,2978
700,466,2993
700,472,3006
700,478,3021
700,484,3033
700,488,3046
700,490,3060
698,490,3084
694,488,3156
688,486,3168
678,482,3184
662,478,3196
624,466,3224
604,460,3234
580,454,3246
558,448,3273
532,440,3284
498,432,3297
472,426,3311
444,418,3336
418,410,3348
392,406,3361
366,400,3381
340,396,3400
316,392,3414
292,390,3427
268,388,3441
248,388,3464
230,388,3477
214,388,3493
200,388,3515
190,390,3528
180,390,3543
172,392,3553
166,394,3579
162,396,3592
158,396,3605
154,398,3630
152,398,3643
