x,y,t
328,196,3670
326,200,3907
326,204,3919
325,210,3935
327,216,3953
337,240,3970
348,258,3985
364,278,4002
442,362,4018
455,373,4035
465,382,4052
373,337,4070
379,342,4085
384,346,4103
395,355,4135
397,356,4149
26.66666603088379,34.66666793823242,6254
48,246.6666717529297,6270
58.66666793823242,338.6666564941406,6282
66.66666412353516,374.6666564941406,6296
76,410.6666564941406,6309
81.33333587646484,430.6666564941406,6320
86.66666412353516,446.6666564941406,6334
92,460,6347
97.33333587646484,473.3333435058594,6361
102.66666412353516,484,6372
109.33333587646484,493.3333435058594,6385
116,489.3333435058594,6619
141.3333282470703,477.3333435058594,6631
185.3333282470703,460,6645
236,448,6667
309.3333435058594,437.3333435058594,6679
388,433.3333435058594,6693
429.3333435058594,433.3333435058594,6705
457.3333435058594,433.3333435058594,6719
476,434.6666564941406,6730
492,436,6744
506.6666564941406,438.6666564941406,6769
536,445.3333435058594,6782
548,449.3333435058594,6795
554.6666870117188,454.6666564941406,6807
562.6666870117188,452,7005
578.6666870117188,446.6666564941406,7027
602.6666870117188,440,7039
628,432,7051
648,426.6666564941406,7064
664,422.6666564941406,7078
678.6666870117188,418.6666564941406,7089
690.6666870117188,417.3333435058594,7104
700,414.6666564941406,7116
708,413.3333435058594,7129
713.3333129882812,410.6666564941406,7141
718.6666870117188,409.3333435058594,7157
724,409.3333435058594,7166
726.6666870117188,408,7179
729.3333129882812,406.6666564941406,7192
732,406.6666564941406,7207
733.3333129882812,405.3333435058594,7219
736,405.3333435058594,7230
736,404,7243
737.3333129882812,404,7258
