x,y,t
708,46.66666793823242,2101
704,73.33333587646484,2125
700,112,2138
697.3333129882812,158.6666717529297,2163
696,200,2176
694.6666870117188,237.3333282470703,2189
693.3333129882812,258.6666564941406,2215
690.6666870117188,273.3333435058594,2227
689.3333129882812,289.3333435058594,2254
686.6666870117188,304,2266
684,318.6666564941406,2291
680,333.3333435058594,2305
676,346.6666564941406,2318
670.6666870117188,360,2342
666.6666870117188,372,2356
662.6666870117188,384,2381
657.3333129882812,394.6666564941406,2394
652,405.3333435058594,2407
645.3333129882812,416,2433
638.6666870117188,426.6666564941406,2445
629.3333129882812,436,2472
614.6666870117188,444,2485
592,452,2509
566.6666870117188,457.3333435058594,2523
533.3333129882812,461.3333435058594,2548
501.3333435058594,462.6666564941406,2560
469.3333435058594,461.3333435058594,2586
436,460,2599
396,457.3333435058594,2618
368,454.6666564941406,2638
340,450.6666564941406,2650
317.3333435058594,448,2675
300,444,2700
282.6666564941406,440,2714
268,437.3333435058594,2726
254.6666717529297,434.6666564941406,2753
244,432,2764
236,430.6666564941406,2790
228,429.3333435058594,2803
220,428,2829
214.6666717529297,426.6666564941406,2865
206.6666717529297,424,2876
202.6666717529297,422.6666564941406,2898
201.3333282470703,421.3333435058594,2922
198.6666717529297,420,2933
196,418.6666564941406,2959
194.6666717529297,416,2972
192,414.6666564941406,2981
190.6666717529297,412,3007
189.3333282470703,412,3020
186.6666717529297,410.6666564941406,3045
186.6666717529297,409.3333435058594,3060
185.3333282470703,409.3333435058594,3074
185.3333282470703,408,3115
