x,y,t
23,26,1906
22,38,1918
21,54,1931
21,73,1957
20,96,1970
20,118,1982
20,140,1995
20,162,2007
21,179,2021
21,192,2033
21,205,2045
21,218,2065
21,231,2084
21,258,2099
22,272,2110
24,287,2125
25,300,2136
26,312,2150
29,323,2161
32,333,2175
35,343,2187
38,353,2200
42,362,2212
45,370,2225
50,381,2237
52,385,2250
53,389,2263
55,392,2276
55,395,2290
55,397,2301
55,400,2314
53,403,2327
49,405,2340
51,404,2583
57,400,2587
66,396,2600
80,391,2609
101,386,2635
126,383,2647
163,383,2659
203,387,2673
243,393,2687
276,399,2698
304,405,2712
332,411,2725
351,415,2737
364,418,2751
381,419,2763
394,419,2775
404,418,2789
413,417,2801
417,415,2814
419,414,3022
425,412,3045
434,411,3058
447,409,3071
461,406,3084
477,405,3101
498,403,3110
515,402,3123
536,401,3134
555,401,3148
569,401,3160
583,402,3171
595,404,3186
606,405,3203
616,406,3210
623,406,3224
629,407,3237
634,407,3252
638,407,3262
641,408,3275
644,408,3288
646,408,3303
650,408,3339
651,408,3352
652,408,3364
652,408,3377
653,407,3390
654,407,3404
656,407,3420
658,406,3436
661,406,3445
664,405,3460
667,404,3473
671,404,3489
674,404,3504
676,404,3512
678,404,3523
680,404,3546
682,404,3556
685,404,3571
688,404,3583
690,404,3593
693,404,3618
694,404,3620
696,405,3645
697,405,3657
698,405,3671
699,405,3685
700,405,3697
702,405,3709
705,405,3723
709,405,3737
712,406,3746
715,406,3761
717,406,3773
719,406,3799
720,406,3811
720,407,3823
721,407,3838
