x,y,t
201,403,1442
213,401,1456
234,397,1480
273,394,1492
353,394,1506
451,397,1517
570,421,1531
682,450,1544
772,476,1560
816,493,1571
855,515,1582
852,514,1832
847,510,1844
842,504,1855
837,498,1866
831,492,1878
824,485,1891
818,478,1903
812,471,1917
805,463,1942
798,455,1956
790,446,1967
783,436,1980
775,426,1993
766,412,2009
753,390,2019
735,353,2031
710,283,2044
688,194,2057
676,139,2071
671,112,2082
669,101,2096
666,91,2109
664,83,2126
661,71,2142
659,66,2155
659,63,2164
658,60,2177
658,58,2192
658,56,2200
656,47,2211
659,44,2407
666,39,2418
673,34,2442
680,30,2456
686,25,2466
693,22,2479
697,19,2493
701,17,2507
704,15,2518
706,14,2530
708,13,2543
710,12,2558
711,12,2580
713,11,2595
714,11,2609
714,10,2620
715,10,2632
716,10,2646
716,10,2660
716,10,2676
717,10,2684
717,10,2709
