x,y,t
707,53,712124
708,72,712148
708,92,712162
708,108,712187
708,123,712199
707,137,712227
705,152,712238
703,165,712263
700,179,712277
697,192,712302
696,204,712315
693,216,712341
692,228,712353
689,240,712379
688,253,712394
687,265,712416
685,277,712430
685,289,712443
684,300,712468
684,311,712480
684,321,712494
684,332,712510
684,344,712534
684,355,712535
685,365,712545
687,375,712559
687,383,712570
688,391,712583
688,396,712595
689,401,712611
689,405,712620
691,408,712633
691,411,712647
691,412,712662
692,413,712672
693,413,712724
693,415,712736
695,415,712762
695,413,712813
695,412,712826
693,409,712840
688,405,712864
677,403,712877
656,399,712891
628,397,712902
601,397,712915
569,396,712943
536,395,712954
499,393,712967
468,393,712979
445,391,712994
428,389,713009
413,388,713032
399,385,713057
375,381,713074
363,380,713087
352,380,713100
340,380,713112
328,380,713128
316,380,713148
304,381,713162
291,381,713171
279,383,713184
267,383,713210
256,384,713224
245,385,713235
239,387,713248
232,387,713262
227,388,713286
223,388,713299
219,388,713312
216,389,713328
213,391,713338
212,391,713350
209,392,713363
208,393,713377
207,393,713390
205,393,713401
204,395,713414
203,395,713429
201,395,713466
203,395,713575
