x,y,t
712,34.66666793823242,1851
710.6666870117188,56,1864
709.3333129882812,88,1875
709.3333129882812,114.66666412353516,1888
709.3333129882812,141.3333282470703,1901
710.6666870117188,164,1914
712,186.6666717529297,1928
714.6666870117188,208,1939
717.3333129882812,250.6666717529297,1953
718.6666870117188,269.3333435058594,1966
720,285.3333435058594,1979
721.3333129882812,300,1990
721.3333129882812,313.3333435058594,2003
722.6666870117188,325.3333435058594,2016
722.6666870117188,336,2031
722.6666870117188,345.3333435058594,2043
724,360,2055
725.3333129882812,389.3333435058594,2067
722.6666870117188,390.6666564941406,2426
712,393.3333435058594,2439
700,397.3333435058594,2452
686.6666870117188,400,2479
670.6666870117188,402.6666564941406,2489
653.3333129882812,405.3333435058594,2502
636,406.6666564941406,2530
617.3333129882812,408,2540
600,408,2553
581.3333129882812,406.6666564941406,2581
565.3333129882812,405.3333435058594,2595
548,404,2606
532,401.3333435058594,2618
516,397.3333435058594,2647
501.3333435058594,393.3333435058594,2656
486.6666564941406,390.6666564941406,2669
472,389.3333435058594,2698
457.3333435058594,386.6666564941406,2711
441.3333435058594,385.3333435058594,2722
425.3333435058594,385.3333435058594,2737
410.6666564941406,385.3333435058594,2750
394.6666564941406,385.3333435058594,2776
378.6666564941406,386.6666564941406,2788
362.6666564941406,386.6666564941406,2811
349.3333435058594,386.6666564941406,2823
334.6666564941406,386.6666564941406,2861
306.6666564941406,386.6666564941406,2874
293.3333435058594,386.6666564941406,2899
280,388,2913
268,389.3333435058594,2938
257.3333435058594,390.6666564941406,2950
248,392,2964
238.6666717529297,392,2989
230.6666717529297,393.3333435058594,3002
225.3333282470703,393.3333435058594,3015
218.6666717529297,393.3333435058594,3040
213.3333282470703,392,3053
208,392,3065
202.6666717529297,390.6666564941406,3090
198.6666717529297,389.3333435058594,3103
194.6666717529297,389.3333435058594,3117
192,388,3144
188,388,3154
186.6666717529297,388,3182
184,388,3195
182.6666717529297,388,3206
182.6666717529297,389.3333435058594,3257
182.6666717529297,392,3269
182.6666717529297,393.3333435058594,3282
184,396,3308
185.3333282470703,397.3333435058594,3321
186.6666717529297,398.6666564941406,3334
188,400,3348
189.3333282470703,402.6666564941406,3378
190.6666717529297,402.6666564941406,3385
192,404,3399
193.3333282470703,405.3333435058594,3413
