x,y,t
28,34,2717
28,44,2732
28,60,2742
28,78,2755
28,98,2781
30,120,2794
32,144,2806
34,166,2832
36,188,2848
38,210,2873
40,232,2906
44,270,2918
46,288,2951
48,304,2952
50,320,2977
50,336,3001
52,350,3017
54,364,3026
56,376,3055
58,386,3069
60,396,3082
62,404,3091
64,412,3115
66,418,3125
66,424,3152
68,428,3165
68,432,3177
70,434,3189
70,438,3216
72,440,3241
74,440,3305
80,438,3318
90,432,3333
104,428,3365
144,418,3394
172,412,3407
202,408,3421
236,404,3445
262,400,3458
292,396,3484
320,392,3499
348,390,3509
374,386,3522
400,384,3549
422,380,3560
444,378,3586
468,374,3600
490,370,3611
514,370,3636
538,370,3652
558,370,3664
582,372,3688
602,374,3702
622,378,3714
638,380,3727
654,384,3752
666,386,3766
676,386,3790
684,388,3803
692,390,3819
698,390,3840
702,392,3855
706,392,3882
708,394,3891
712,394,3907
718,396,3935
722,398,3944
726,400,3957
728,400,3983
732,402,3995
734,402,4021
736,402,4034
