x,y,t
216,399,3405
236,396,3419
277,389,3431
343,379,3445
400,372,3459
451,369,3469
494,369,3482
524,371,3496
545,373,3511
558,375,3520
568,376,3534
577,377,3546
584,377,3559
589,377,3571
593,378,3584
593,378,3597
593,378,3611
597,378,3848
604,377,3862
613,377,3877
622,378,3891
633,379,3904
642,381,3917
652,382,3930
661,384,3942
670,386,3952
678,388,3963
684,389,3986
689,391,3998
693,392,4011
696,394,4020
700,395,4046
702,396,4059
704,397,4071
705,398,4084
707,399,4096
708,399,4123
709,400,4135
709,400,4148
709,399,4212
709,399,4226
709,397,4238
709,396,4263
709,394,4278
709,393,4288
709,391,4302
709,387,4314
708,382,4328
708,374,4344
708,363,4353
709,348,4365
709,334,4379
707,315,4395
706,300,4417
704,287,4429
702,270,4445
701,254,4456
699,240,4468
698,227,4480
697,214,4495
696,203,4508
695,193,4532
694,183,4545
694,174,4558
693,164,4571
693,155,4583
693,145,4596
693,134,4610
693,124,4621
694,114,4634
696,105,4648
697,96,4661
699,88,4673
702,81,4686
704,75,4699
707,70,4712
713,62,4728
715,59,4737
717,57,4749
718,55,4774
718,52,4775
716,38,4789
