x,y,t
224,399,2501
245,394,2511
273,389,2523
304,384,2546
346,378,2557
413,374,2570
469,370,2584
520,370,2597
554,372,2622
577,374,2634
592,376,2650
603,377,2660
612,379,2672
622,381,2686
632,384,2700
641,388,2711
652,392,2724
661,397,2737
669,402,2765
676,405,2776
682,408,2788
687,411,2800
691,412,2817
694,412,2827
695,410,3146
696,403,3158
697,387,3171
697,374,3184
697,354,3200
695,338,3222
694,325,3235
691,313,3251
688,296,3260
684,280,3281
681,266,3300
678,249,3314
676,232,3325
674,217,3337
674,203,3352
675,189,3376
677,174,3389
679,162,3402
681,150,3417
684,139,3426
687,130,3439
691,121,3466
695,112,3479
698,105,3490
703,96,3504
706,89,3531
710,81,3542
713,72,3554
717,63,3569
720,55,3583
723,47,3594
725,41,3619
727,36,3634
728,32,3644
728,30,3657
728,29,3670
727,29,3985
727,29,3998
726,29,4008
726,29,4031
725,29,4042
725,29,4069
724,29,4091
724,29,4118
724,29,4131
723,29,4143
722,30,4156
721,30,4169
720,31,4184
718,31,4195
717,32,4206
716,32,4220
715,33,4247
715,33,4258
714,33,4271
714,33,4285
713,33,4315
713,33,4321
713,32,4360
