x,y,t
35,42,15258
33,55,15270
31,74,15283
30,92,15297
31,132,15321
35,159,15334
40,180,15348
46,195,15359
54,209,15373
65,225,15385
74,236,15400
83,244,15411
94,251,15424
115,263,15436
125,268,15451
134,272,15463
142,275,15474
149,277,15487
156,279,15501
168,281,15724
194,290,15736
304,321,15750
473,372,15758
476,373,15769
546,395,15784
666,444,15797
743,475,15809
781,492,15830
801,503,15833
809,509,15851
817,513,15860
821,516,15872
820,514,16103
815,509,16116
810,503,16128
804,497,16143
796,490,16156
788,484,16168
780,478,16180
772,472,16190
763,466,16203
754,460,16218
745,453,16229
736,447,16242
727,442,16254
718,438,16281
711,434,16293
704,430,16305
698,427,16319
693,425,16334
688,423,16349
685,422,16357
683,421,16370
681,421,16384
681,421,16397
682,420,16485
683,419,16498
