x,y,t
212,404,2793
225,402,2804
248,400,2816
276,398,2827
308,397,2838
334,396,2851
358,396,2860
377,395,2872
390,395,2886
401,395,2901
411,395,2912
419,395,2924
425,395,2937
431,397,2951
436,397,3175
451,397,3187
473,399,3199
501,402,3209
539,407,3220
587,415,3245
600,416,3258
611,418,3270
622,418,3285
630,419,3297
637,419,3309
643,419,3322
648,419,3336
651,419,3348
655,419,3360
658,419,3372
660,418,3385
662,418,3397
664,417,3409
667,415,3422
670,411,3435
674,407,3449
677,403,3460
681,398,3483
684,393,3488
688,388,3502
693,379,3517
695,376,3526
696,372,3539
698,367,3553
701,359,3568
703,350,3577
705,339,3590
706,327,3603
708,315,3620
708,301,3629
709,288,3642
710,275,3653
711,263,3669
712,249,3682
714,236,3692
717,221,3706
721,204,3720
725,190,3755
737,145,3768
739,136,3789
740,130,3802
740,127,3811
738,125,4000
735,119,4013
732,112,4025
728,105,4038
725,97,4052
722,90,4065
720,83,4077
718,76,4089
716,70,4103
714,64,4120
712,59,4128
711,53,4140
710,48,4154
709,44,4169
708,41,4179
707,38,4192
706,36,4204
705,34,4219
704,33,4234
704,32,4243
704,32,4435
705,31,4449
705,30,4461
705,29,4473
