x,y,t
29.33333396911621,42.66666793823242,1694
30.66666603088379,64,1721
32,88,1730
33.33333206176758,114.66666412353516,1742
36,138.6666717529297,1756
37.33333206176758,161.3333282470703,1765
40,184,1779
41.33333206176758,201.3333282470703,1793
44,218.6666717529297,1817
45.33333206176758,234.6666717529297,1830
48,249.3333282470703,1843
49.33333206176758,262.6666564941406,1857
50.66666793823242,276,1869
50.66666793823242,289.3333435058594,1880
50.66666793823242,301.3333435058594,1894
48,313.3333435058594,1907
46.66666793823242,324,1932
45.33333206176758,333.3333435058594,1945
45.33333206176758,341.3333435058594,1958
44,348,1972
42.66666793823242,352,1983
42.66666793823242,356,2009
42.66666793823242,358.6666564941406,2023
42.66666793823242,361.3333435058594,2034
42.66666793823242,364,2046
42.66666793823242,365.3333435058594,2060
42.66666793823242,368,2089
42.66666793823242,372,2099
42.66666793823242,376,2111
44,382.6666564941406,2125
44,389.3333435058594,2138
45.33333206176758,397.3333435058594,2149
45.33333206176758,404,2162
45.33333206176758,409.3333435058594,2176
46.66666793823242,414.6666564941406,2190
46.66666793823242,417.3333435058594,2200
48,421.3333435058594,2214
48,422.6666564941406,2237
50.66666793823242,426.6666564941406,2254
53.33333206176758,426.6666564941406,2264
58.66666793823242,426.6666564941406,2278
66.66666412353516,424,2292
81.33333587646484,417.3333435058594,2305
108,409.3333435058594,2315
158.6666717529297,393.3333435058594,2329
228,377.3333435058594,2342
280,365.3333435058594,2356
316,358.6666564941406,2367
336,354.6666564941406,2393
364,350.6666564941406,2406
374.6666564941406,349.3333435058594,2419
384,350.6666564941406,2429
390.6666564941406,352,2445
396,357.3333435058594,2458
400,362.6666564941406,2475
405.3333435058594,362.6666564941406,2669
417.3333435058594,364,2683
440,366.6666564941406,2695
489.3333435058594,370.6666564941406,2724
516,373.3333435058594,2739
538.6666870117188,376,2762
556,377.3333435058594,2775
574.6666870117188,380,2791
590.6666870117188,382.6666564941406,2797
605.3333129882812,385.3333435058594,2821
618.6666870117188,388,2831
629.3333129882812,390.6666564941406,2843
637.3333129882812,392,2868
645.3333129882812,393.3333435058594,2881
653.3333129882812,396,2894
658.6666870117188,397.3333435058594,2907
665.3333129882812,398.6666564941406,2924
670.6666870117188,400,2932
674.6666870117188,401.3333435058594,2945
677.3333129882812,402.6666564941406,2958
681.3333129882812,402.6666564941406,2974
682.6666870117188,404,2995
685.3333129882812,404,3009
686.6666870117188,404,3024
688,404,3034
689.3333129882812,404,3047
690.6666870117188,404,3073
692,404,3098
693.3333129882812,404,3111
694.6666870117188,404,3125
696,404,3138
697.3333129882812,404,3149
698.6666870117188,405.3333435058594,3175
700,405.3333435058594,3200
700,406.6666564941406,3213
701.3333129882812,406.6666564941406,3226
702.6666870117188,406.6666564941406,3241
704,406.6666564941406,3252
705.3333129882812,408,3277
706.6666870117188,408,3290
708,408,3307
710.6666870117188,408,3316
713.3333129882812,409.3333435058594,3341
716,409.3333435058594,3356
718.6666870117188,409.3333435058594,3366
721.3333129882812,409.3333435058594,3380
722.6666870117188,409.3333435058594,3394
725.3333129882812,409.3333435058594,3408
726.6666870117188,409.3333435058594,3417
726.6666870117188,410.6666564941406,3469
