x,y,t
705.3333129882812,53.33333206176758,2492
704,73.33333587646484,2502
701.3333129882812,105.33333587646484,2515
700,136,2524
698.6666870117188,168,2536
697.3333129882812,196,2565
697.3333129882812,218.6666717529297,2571
696,236,2586
696,254.6666717529297,2599
696,270.6666564941406,2609
696,288,2623
694.6666870117188,302.6666564941406,2637
694.6666870117188,317.3333435058594,2652
694.6666870117188,330.6666564941406,2662
693.3333129882812,344,2674
693.3333129882812,356,2687
693.3333129882812,366.6666564941406,2702
693.3333129882812,377.3333435058594,2713
692,386.6666564941406,2725
692,393.3333435058594,2739
692,405.3333435058594,2753
692,410.6666564941406,2765
692,414.6666564941406,2776
692,418.6666564941406,2790
692,422.6666564941406,2803
692,425.3333435058594,2818
692,428,2828
692,430.6666564941406,2841
692,432,2856
684,430.6666564941406,3117
669.3333129882812,430.6666564941406,3139
650.6666870117188,428,3151
625.3333129882812,426.6666564941406,3161
597.3333129882812,424,3173
574.6666870117188,421.3333435058594,3187
548,420,3201
524,418.6666564941406,3212
500,417.3333435058594,3225
481.3333435058594,417.3333435058594,3250
462.6666564941406,416,3267
444,416,3276
425.3333435058594,416,3289
408,417.3333435058594,3302
390.6666564941406,417.3333435058594,3316
373.3333435058594,418.6666564941406,3327
357.3333435058594,418.6666564941406,3340
341.3333435058594,420,3353
325.3333435058594,420,3369
310.6666564941406,418.6666564941406,3378
296,418.6666564941406,3391
282.6666564941406,417.3333435058594,3403
269.3333435058594,416,3418
257.3333435058594,414.6666564941406,3430
234.6666717529297,410.6666564941406,3458
225.3333282470703,408,3484
216,406.6666564941406,3495
208,405.3333435058594,3510
202.6666717529297,404,3523
197.3333282470703,404,3536
193.3333282470703,404,3545
189.3333282470703,404,3558
186.6666717529297,404,3571
184,404,3599
181.3333282470703,404,3609
180,404,3687
180,405.3333435058594,3712
