x,y,t
5,5,0
103,54,1095
103,57,1103
103,62,1112
103,67,1125
103,69,1133
103,73,1144
102,77,1150
102,81,1160
102,84,1166
102,89,1177
102,93,1183
102,97,1193
102,102,1200
102,108,1210
102,111,1216
102,117,1227
102,121,1233
102,125,1244
104,131,1250
105,133,1260
107,139,1266
109,143,1277
111,146,1283
113,151,1293
116,155,1300
119,158,1310
122,163,1317
126,167,1327
130,171,1333
134,175,1344
139,178,1350
143,183,1360
148,185,1367
152,189,1377
156,193,1383
162,196,1394
166,200,1400
170,203,1411
176,207,1417
180,210,1427
186,213,1433
192,216,1444
198,220,1450
206,223,1460
213,226,1467
220,229,1477
229,232,1483
237,237,1494
246,240,1500
254,243,1510
264,247,1517
273,252,1528
281,254,1533
292,258,1544
301,261,1550
310,263,1561
321,266,1567
331,267,1577
342,269,1583
353,270,1594
363,272,1600
374,273,1611
385,275,1617
397,277,1628
408,279,1634
421,281,1645
434,283,1650
447,284,1662
462,286,1667
474,287,1677
487,289,1684
502,290,1695
516,292,1700
529,293,1711
542,295,1717
555,297,1728
568,297,1734
579,299,1744
590,300,1750
600,300,1762
609,301,1767
619,301,1777
627,301,1784
635,301,1794
642,301,1800
648,301,1811
654,301,1817
660,301,1827
665,301,1834
670,302,1844
675,302,1850
679,303,1860
683,303,1867
686,303,1877
689,303,1883
690,303,1894
692,304,1900
693,303,1910
694,304,1927
696,304,2012
697,304,2020
