x,y,t
733,57,1469
733,78,1521
733,80,1525
733,83,1533
733,86,1541
733,88,1550
733,93,1558
733,96,1567
734,101,1575
735,104,1584
736,109,1592
736,112,1601
737,117,1608
738,122,1617
739,126,1625
739,130,1634
739,134,1642
740,138,1651
740,143,1658
741,147,1667
741,151,1675
741,156,1684
741,160,1692
741,163,1701
741,168,1708
741,172,1717
741,176,1725
741,180,1734
741,185,1742
740,188,1751
740,193,1758
740,197,1767
740,200,1775
739,205,1784
739,210,1792
739,214,1801
737,219,1808
736,225,1818
736,229,1825
734,236,1834
733,240,1842
731,246,1851
729,254,1858
728,257,1868
726,264,1875
724,270,1884
722,274,1892
719,279,1901
717,284,1908
714,289,1918
710,294,1925
706,298,1934
703,301,1942
698,305,1951
694,309,1958
690,312,1967
686,314,1975
680,317,1984
676,319,1992
671,320,2001
666,323,2008
660,325,2018
654,327,2025
648,328,2034
641,331,2042
635,333,2051
629,334,2058
622,336,2068
615,337,2075
608,338,2084
601,340,2092
593,341,2101
584,342,2108
576,343,2118
566,343,2125
557,343,2134
546,344,2142
538,344,2151
528,344,2158
518,344,2168
506,344,2175
497,344,2184
485,344,2192
474,344,2201
465,344,2208
452,345,2219
441,345,2226
429,346,2236
417,346,2242
405,346,2252
393,346,2258
380,347,2268
368,348,2275
334,348,2307
324,350,2309
313,350,2320
302,351,2325
294,351,2334
285,351,2342
277,353,2351
270,353,2359
263,353,2368
257,353,2375
252,353,2384
246,353,2392
243,353,2401
239,353,2408
236,353,2417
234,353,2425
232,353,2434
231,352,2442
230,353,2453
230,352,2460
230,351,2475
230,350,2517
230,349,2543
231,350,2550
232,350,2560
233,350,2584
234,350,2601
359,236,7020
359,240,7028
359,246,7036
360,248,7046
361,252,7053
361,255,7062
361,259,7069
362,263,7079
363,269,7086
363,274,7096
364,280,7103
364,285,7112
364,290,7119
365,296,7129
366,298,7136
366,306,7146
367,308,7153
367,313,7162
367,317,7169
368,321,7179
368,323,7186
368,327,7196
368,330,7203
368,333,7212
368,335,7219
368,338,7229
368,340,7236
368,341,7246
368,342,7262
368,340,7319
368,339,7328
368,338,7336
368,336,7345
368,333,7353
368,330,7362
368,326,7369
368,321,7379
368,316,7386
368,310,7396
368,307,7403
368,301,7413
367,296,7419
367,293,7429
367,287,7436
367,281,7446
367,279,7453
366,273,7463
366,270,7469
364,266,7479
364,262,7486
363,259,7496
362,257,7503
361,254,7513
361,253,7519
360,252,7529
359,252,7536
359,253,7577
359,256,7586
358,257,7596
358,260,7603
357,263,7613
357,269,7619
356,273,7629
356,277,7636
356,281,7646
355,286,7653
355,291,7663
355,296,7669
355,299,7679
355,304,7686
355,307,7696
355,309,7703
355,311,7713
355,313,7719
355,314,7729
355,313,7801
355,311,7820
355,310,7829
355,308,7836
355,306,7846
355,304,7853
355,299,7863
353,292,7869
351,281,7879
350,274,7886
350,271,7896
350,268,7903
680,39,8928
680,43,8937
680,47,8946
680,51,8954
680,56,8962
680,58,8973
679,61,8978
679,63,8988
678,65,8995
677,68,9005
677,71,9012
677,74,9021
677,78,9028
676,82,9038
676,86,9045
675,89,9055
675,93,9062
675,99,9071
675,103,9078
675,108,9088
674,112,9095
674,117,9105
674,122,9112
673,126,9121
673,129,9128
673,135,9138
673,139,9145
673,143,9155
673,148,9162
672,153,9172
672,158,9178
672,162,9188
671,166,9195
670,170,9205
669,175,9212
669,178,9221
667,183,9229
666,187,9238
663,192,9245
660,195,9255
657,200,9262
655,205,9272
651,210,9278
646,215,9288
643,219,9295
638,224,9305
632,229,9312
627,233,9321
621,236,9328
615,240,9338
608,244,9345
599,248,9355
591,251,9362
583,253,9372
573,257,9379
563,260,9388
553,262,9395
542,264,9405
532,266,9412
524,269,9422
512,271,9429
502,272,9438
491,274,9445
481,276,9455
470,277,9462
459,279,9472
447,279,9479
435,280,9488
424,281,9495
411,281,9505
398,281,9512
387,281,9522
375,281,9529
363,281,9538
352,281,9545
341,281,9555
331,281,9562
320,279,9572
312,279,9579
303,277,9589
294,276,9595
286,275,9605
277,274,9612
269,273,9622
263,273,9629
256,273,9638
250,273,9645
246,273,9655
240,273,9662
236,273,9672
233,273,9679
229,273,9688
226,273,9695
224,273,9705
222,273,9712
220,273,9722
219,273,9729
218,273,9738
217,273,9755
217,274,9896
787,751,14146
787,747,14156
787,743,14164
787,739,14172
787,736,14180
787,733,14191
787,730,14197
787,727,14207
786,724,14214
786,722,14224
786,719,14231
786,716,14241
785,713,14247
785,710,14257
785,707,14264
784,704,14274
784,702,14281
784,699,14291
783,696,14297
782,693,14308
781,690,14314
780,689,14324
780,686,14331
779,683,14341
778,680,14347
777,678,14358
776,675,14364
776,673,14375
776,670,14381
775,668,14392
774,665,14397
774,663,14408
774,661,14414
774,658,14424
774,655,14431
774,653,14442
774,651,14447
774,648,14458
774,646,14464
774,643,14474
774,640,14481
774,638,14491
774,635,14497
774,633,14508
774,629,14514
774,627,14524
774,625,14530
774,622,14541
774,619,14547
774,618,14558
774,615,14564
774,613,14574
774,611,14581
775,609,14591
775,608,14597
776,606,14608
776,605,14614
776,602,14622
776,601,14631
777,600,14641
777,599,14647
777,598,14658
777,596,14664
777,595,14674
778,594,14680
778,592,14691
778,591,14697
779,590,14708
779,589,14714
779,588,14724
779,586,14731
779,585,14747
779,583,14758
779,582,14774
779,580,14781
779,579,14791
779,578,14797
779,576,14808
779,575,14814
779,573,14824
780,572,14831
780,571,14847
780,569,14858
780,568,14874
780,566,14891
780,565,14907
780,563,14924
780,562,15505
780,561,15556
780,560,15581
780,559,15597
780,558,15614
780,557,15632
780,556,15639
780,555,15656
780,554,15673
780,552,15689
780,551,15699
780,550,15715
780,549,15723
780,548,15732
780,547,15739
780,546,15749
780,545,15765
780,544,15773
780,542,15789
780,541,15806
780,539,15815
780,540,15823
780,538,15832
780,537,15849
780,536,15856
780,535,15865
780,534,15883
781,532,15890
781,531,15900
781,529,15916
781,528,15932
781,527,15949
781,526,15956
781,525,15966
781,524,15973
781,521,15989
781,519,16006
781,518,16015
781,516,16023
781,515,16039
781,513,16049
781,512,16056
781,511,16066
781,510,16073
781,509,16082
781,508,16089
781,507,16099
781,506,16106
781,504,16116
781,502,16132
781,501,16139
781,499,16156
781,498,16165
781,497,16182
781,496,16190
781,495,16199
781,494,16223
781,493,16232
781,492,16249
781,491,16266
781,489,16298
781,488,16422
781,487,16515
781,486,16540
781,485,16556
781,484,16573
781,482,16598
781,481,16640
781,480,16665
781,479,16681
781,478,16706
781,477,16731
781,476,16757
781,475,16765
781,474,16798
781,473,16840
781,472,16873
781,473,17239
781,474,17257
781,475,17266
781,476,17283
781,477,17290
781,478,17307
781,479,17316
781,480,17323
781,481,17333
781,482,17340
781,483,17350
781,484,17357
781,485,17367
781,487,17373
781,488,17390
781,489,17400
781,490,17407
781,491,17417
781,492,17423
781,494,17440
781,495,17457
781,496,17466
781,497,17473
781,498,17483
781,499,17490
781,501,17507
781,502,17517
782,504,17523
782,505,17533
782,506,17540
782,507,17550
782,508,17557
782,509,17567
782,511,17573
782,512,17584
782,513,17590
782,515,17600
782,516,17616
782,518,17623
782,519,17633
782,521,17640
782,522,17650
783,524,17657
783,525,17667
783,526,17683
783,528,17690
783,529,17700
783,530,17707
783,531,17717
783,532,17733
783,533,17757
783,534,17773
788,581,34246
788,580,34264
788,579,34272
788,578,34280
788,577,34289
788,576,34297
788,575,34307
788,574,34312
788,573,34320
788,572,34328
788,570,34354
789,569,34371
789,568,34388
790,566,34396
790,565,34413
790,563,34430
791,562,34446
791,561,34463
791,560,34480
791,559,34496
791,558,34513
791,557,34530
791,556,34538
792,555,34546
792,554,34563
792,553,34571
792,552,34580
792,551,34596
792,549,34613
792,548,34630
792,546,34646
792,545,34663
792,544,34680
792,542,34696
792,543,34704
792,541,34713
792,539,34730
792,538,34746
792,536,34754
792,535,34763
792,534,34771
792,532,34780
792,531,34788
793,530,34797
793,528,34804
793,526,34821
793,525,34829
794,524,34838
794,523,34846
794,522,34854
795,521,34871
795,519,34888
796,519,34896
796,518,34904
796,516,34921
796,515,34938
796,514,34954
796,513,34963
796,512,34971
796,511,34988
796,510,34996
796,509,35005
796,508,35021
796,507,35038
796,506,35047
796,505,35054
796,504,35071
796,503,35080
796,502,35088
796,501,35104
796,500,35113
796,499,35121
796,498,35138
796,497,35147
796,496,35155
796,495,35171
796,494,35180
796,493,35188
796,492,35204
796,491,35213
796,490,35221
796,489,35237
796,488,35245
796,487,35262
796,486,35270
796,485,35287
796,484,35295
796,483,35304
796,482,35312
796,481,35320
796,482,35328
796,480,35337
796,479,35354
796,477,35370
796,476,35387
796,475,35395
796,474,35404
796,472,35429
796,471,35437
796,470,35462
796,469,35470
797,469,35478
797,468,35495
797,467,35504
797,466,35520
797,465,35529
798,465,35537
798,464,35546
798,462,35570
798,461,35595
798,460,35612
798,458,35637
798,457,35654
798,456,35671
798,455,35687
798,454,35704
798,453,35712
798,452,35721
799,450,35745
799,449,35770
799,448,35779
799,447,35796
799,446,35812
799,445,35820
799,444,35845
799,443,35862
799,442,35871
800,442,35879
800,441,35887
800,440,35912
800,439,35937
800,438,35945
800,437,35970
800,435,35995
800,434,36012
800,433,36046
800,432,36062
800,431,36079
800,430,36095
800,429,36112
800,428,36121
800,427,36145
800,426,36162
800,425,36171
800,424,36187
800,423,36195
800,422,36213
800,421,36229
800,420,36254
800,419,36262
801,419,36279
801,418,36287
801,417,36304
801,416,36345
801,415,36362
801,414,36387
801,413,36421
801,412,36437
801,411,36446
801,410,36463
801,408,36487
801,407,36512
801,405,36537
801,404,36554
801,403,36596
801,402,36621
801,401,36629
801,400,36662
801,398,36695
801,397,36729
801,396,36771
801,395,36779
574,160,38680
574,162,38689
574,163,38698
574,165,38711
574,166,38719
574,168,38730
574,169,38736
574,170,38746
574,172,38752
574,173,38763
574,174,38769
574,175,38780
574,176,38786
574,179,38796
574,181,38813
574,182,38819
574,183,38829
574,184,38836
574,186,38846
574,188,38863
574,189,38869
574,191,38879
574,192,38886
574,193,38896
574,195,38903
573,196,38913
573,198,38919
573,199,38930
573,200,38936
573,203,38946
573,205,38953
573,206,38963
573,209,38969
573,210,38980
573,212,38986
573,214,38996
573,216,39003
572,217,39013
572,219,39019
572,222,39030
572,223,39036
572,226,39047
571,227,39053
571,229,39064
571,232,39069
571,233,39080
