x,y,t
700,108,t
538,118,t
476,112,t
460,106,t
460,105,t
461,105,t
462,106,t
461,106,t
453,104,t
438,102,t
410,121,t
363,167,t
325,199,t
285,233,t
249,267,t
213,305,t
182,333,t
150,354,t
144,356,t
140,356,t
134,351,t
124,335,t
113,304,t
102,264,t
84,205,t
74,186,t
69,177,t
65,167,t
58,158,t
52,147,t
46,139,t
39,133,t
34,127,t
29,119,t
21,111,t
16,107,t
16,106,t
17,104,t
18,103,t
19,102,t
22,99,t
23,98,t
24,97,t
24,97,t
24,98,t
23,105,t
22,114,t
21,125,t
16,149,t
12,177,t
8,209,t
4,245,t
6,287,t
10,321,t
14,348,t
18,360,t
22,371,t
26,387,t
36,411,t
43,431,t
50,447,t
57,466,t
59,472,t
61,477,t
62,480,t
63,486,t
66,495,t
68,500,t
70,503,t
72,506,t
74,509,t
80,513,t
103,517,t
126,517,t
146,514,t
162,511,t
179,508,t
193,506,t
207,502,t
216,500,t
225,498,t
235,497,t
247,494,t
258,494,t
273,494,t
298,494,t
321,494,t
359,490,t
401,487,t
444,485,t
488,487,t
546,489,t
582,487,t
601,485,t
651,485,t
674,485,t
687,485,t
698,487,t
702,488,t
705,489,t
711,490,t
717,492,t
721,492,t
723,492,t
726,493,t
728,493,t
728,493,t
724,492,t
715,492,t
695,496,t
666,508,t
619,528,t
559,558,t
487,588,t
381,630,t
346,648,t
269,696,t
231,724,t
209,744,t
196,758,t
189,768,t
182,776,t
177,781,t
170,788,t
163,795,t
156,800,t
154,803,t
153,804,t
152,805,t
150,808,t
148,815,t
145,820,t
143,822,t
142,824,t
141,826,t
139,828,t
135,834,t
126,846,t
114,862,t
102,877,t
94,885,t
92,887,t
92,887,t
92,888,t
91,888,t
91,889,t
90,890,t
89,891,t
87,896,t
85,898,t
84,900,t
83,900,t
