x,y,t
83,899,t
84,897,t
85,896,t
86,894,t
87,892,t
88,889,t
90,885,t
92,878,t
97,865,t
108,844,t
137,787,t
163,743,t
193,693,t
229,609,t
277,467,t
293,419,t
325,319,t
335,295,t
337,294,t
335,299,t
312,354,t
292,406,t
274,437,t
261,456,t
248,475,t
243,481,t
241,483,t
238,485,t
237,485,t
236,485,t
228,485,t
222,486,t
218,488,t
216,488,t
216,489,t
215,489,t
214,489,t
213,489,t
211,489,t
207,488,t
205,488,t
203,487,t
202,487,t
201,486,t
202,484,t
203,481,t
205,478,t
207,475,t
208,473,t
207,474,t
205,476,t
204,477,t
206,477,t
210,477,t
226,474,t
242,472,t
270,470,t
305,468,t
345,466,t
386,464,t
440,460,t
469,460,t
493,460,t
513,462,t
531,465,t
543,468,t
550,470,t
563,473,t
572,477,t
581,483,t
591,487,t
601,490,t
610,493,t
617,496,t
620,497,t
625,498,t
631,499,t
637,500,t
643,500,t
648,499,t
651,498,t
653,498,t
656,498,t
660,498,t
662,498,t
664,498,t
665,497,t
665,497,t
666,496,t
669,494,t
672,492,t
676,489,t
679,487,t
682,485,t
685,484,t
687,482,t
688,482,t
689,481,t
691,480,t
693,479,t
696,476,t
702,472,t
704,470,t
707,464,t
709,456,t
712,446,t
712,411,t
713,381,t
717,348,t
719,312,t
719,283,t
714,261,t
706,232,t
704,216,t
701,205,t
699,193,t
696,183,t
694,177,t
692,171,t
689,164,t
688,160,t
687,158,t
686,156,t
686,152,t
685,149,t
686,144,t
690,135,t
693,130,t
696,124,t
699,119,t
701,116,t
703,113,t
706,111,t
711,109,t
713,107,t
715,106,t
715,105,t
715,105,t
715,106,t
712,108,t
704,118,t
677,149,t
639,193,t
571,273,t
521,339,t
461,413,t
393,489,t
329,557,t
255,637,t
223,671,t
199,698,t
178,722,t
163,740,t
155,750,t
153,758,t
153,760,t
153,763,t
153,768,t
152,772,t
152,773,t
152,776,t
152,778,t
152,784,t
151,792,t
151,800,t
153,805,t
154,808,t
153,818,t
149,832,t
140,850,t
131,863,t
124,870,t
119,876,t
117,877,t
115,878,t
114,879,t
113,879,t
112,879,t
109,880,t
107,881,t
105,882,t
104,883,t
102,885,t
97,887,t
92,891,t
86,897,t
82,903,t
81,904,t
82,901,t
83,899,t
85,895,t
87,892,t
