x,y,t
794,68,t
790,67,t
703,60,t
675,60,t
621,68,t
561,78,t
513,92,t
471,112,t
417,147,t
399,165,t
388,176,t
379,185,t
371,194,t
361,203,t
346,215,t
338,220,t
328,228,t
318,235,t
302,244,t
255,264,t
238,269,t
191,281,t
168,282,t
153,280,t
137,269,t
114,248,t
101,220,t
83,172,t
70,144,t
66,130,t
63,121,t
58,111,t
57,107,t
58,105,t
58,100,t
58,97,t
56,95,t
56,93,t
54,92,t
53,90,t
49,88,t
40,86,t
31,85,t
27,85,t
26,85,t
26,87,t
26,90,t
27,102,t
28,110,t
33,143,t
43,170,t
61,202,t
79,233,t
97,271,t
115,306,t
131,341,t
141,381,t
144,401,t
143,411,t
139,419,t
131,429,t
120,440,t
100,456,t
88,464,t
81,471,t
75,478,t
73,482,t
71,489,t
72,496,t
79,502,t
98,506,t
134,504,t
186,490,t
256,474,t
332,456,t
452,430,t
514,426,t
562,426,t
599,426,t
622,426,t
638,426,t
644,425,t
649,425,t
651,425,t
651,426,t
652,431,t
655,442,t
657,451,t
659,461,t
664,472,t
678,489,t
688,497,t
699,501,t
716,503,t
731,506,t
743,506,t
746,505,t
745,505,t
743,505,t
739,506,t
732,508,t
718,513,t
705,520,t
684,529,t
653,544,t
602,575,t
568,593,t
533,614,t
495,634,t
464,656,t
434,677,t
393,706,t
358,740,t
314,778,t
272,814,t
242,842,t
223,857,t
212,870,t
207,876,t
206,878,t
206,877,t
208,876,t
212,871,t
218,867,t
222,866,t
222,869,t
222,872,t
219,880,t
226,877,t
251,856,t
250,861,t
251,861,t
250,861,t
247,863,t
202,897,t
150,931,t
100,953,t
72,961,t
66,962,t
64,962,t
63,962,t
68,956,t
81,940,t
95,918,t
101,906,t
101,904,t
100,903,t
99,903,t
97,903,t
96,903,t
95,903,t
93,903,t
92,902,t
90,900,t
89,899,t
89,898,t
89,898,t
