x,y,t
91,897,t
97,891,t
96,891,t
95,894,t
93,897,t
89,902,t
82,907,t
78,909,t
77,909,t
77,905,t
81,883,t
95,835,t
123,767,t
137,729,t
179,539,t
203,431,t
225,327,t
225,255,t
217,220,t
206,210,t
200,208,t
196,208,t
192,208,t
186,210,t
179,212,t
169,215,t
160,217,t
147,218,t
129,218,t
113,211,t
104,203,t
93,191,t
87,182,t
78,169,t
72,159,t
66,148,t
61,138,t
54,129,t
49,125,t
47,123,t
45,121,t
43,120,t
41,118,t
35,115,t
33,114,t
32,114,t
30,113,t
28,112,t
25,110,t
23,107,t
22,105,t
22,103,t
22,101,t
22,99,t
22,98,t
24,97,t
30,97,t
39,97,t
49,96,t
59,96,t
80,97,t
97,103,t
113,113,t
124,123,t
132,139,t
133,154,t
120,185,t
94,217,t
71,248,t
47,281,t
23,323,t
1,359,t
0,377,t
0,456,t
1,489,t
8,516,t
18,536,t
27,551,t
41,562,t
74,580,t
102,583,t
134,581,t
181,575,t
233,565,t
287,551,t
375,523,t
431,499,t
485,475,t
531,457,t
577,439,t
615,421,t
639,411,t
666,401,t
678,398,t
687,396,t
695,397,t
701,400,t
709,409,t
715,415,t
723,423,t
728,430,t
731,433,t
733,437,t
733,443,t
731,451,t
725,460,t
722,466,t
720,471,t
718,475,t
717,477,t
716,477,t
716,478,t
706,484,t
689,493,t
666,506,t
616,535,t
540,575,t
458,631,t
374,693,t
260,771,t
204,805,t
164,839,t
136,873,t
124,891,t
122,895,t
118,903,t
113,907,t
106,912,t
102,915,t
100,916,t
99,917,t
97,918,t
97,917,t
99,909,t
99,906,t
100,904,t
100,903,t
