x,y,t
712,34.66666793823242,2141
713.3333129882812,57.33333206176758,2167
713.3333129882812,77.33333587646484,2180
713.3333129882812,92,2193
714.6666870117188,120,2206
714.6666870117188,142.6666717529297,2221
716,161.3333282470703,2244
717.3333129882812,197.3333282470703,2256
718.6666870117188,222.6666717529297,2270
718.6666870117188,242.6666717529297,2286
721.3333129882812,272,2294
721.3333129882812,290.6666564941406,2308
721.3333129882812,305.3333435058594,2334
721.3333129882812,320,2346
721.3333129882812,330.6666564941406,2358
721.3333129882812,342.6666564941406,2372
720,352,2386
718.6666870117188,361.3333435058594,2397
717.3333129882812,368,2409
714.6666870117188,376,2436
712,384,2450
709.3333129882812,392,2461
706.6666870117188,398.6666564941406,2474
697.3333129882812,410.6666564941406,2500
692,416,2514
688,421.3333435058594,2525
684,426.6666564941406,2538
680,434.6666564941406,2553
673.3333129882812,444,2577
665.3333129882812,453.3333435058594,2589
657.3333129882812,462.6666564941406,2603
648,469.3333435058594,2616
638.6666870117188,474.6666564941406,2628
628,478.6666564941406,2654
609.3333129882812,482.6666564941406,2666
590.6666870117188,481.3333435058594,2679
573.3333129882812,477.3333435058594,2715
481.3333435058594,453.3333435058594,2726
416,438.6666564941406,2738
389.3333435058594,433.3333435058594,2750
373.3333435058594,430.6666564941406,2760
349.3333435058594,425.3333435058594,2784
330.6666564941406,422.6666564941406,2796
313.3333435058594,417.3333435058594,2810
297.3333435058594,413.3333435058594,2825
280,412,2838
264,406.6666564941406,2854
248,400,2869
234.6666717529297,393.3333435058594,2884
220,388,2893
208,382.6666564941406,2905
196,378.6666564941406,2927
184,376,2938
173.3333282470703,373.3333435058594,2954
165.3333282470703,373.3333435058594,2961
157.3333282470703,374.6666564941406,2986
150.6666717529297,376,3001
146.6666717529297,378.6666564941406,3017
144,381.3333435058594,3024
141.3333282470703,382.6666564941406,3037
140,386.6666564941406,3054
138.6666717529297,390.6666564941406,3062
137.3333282470703,394.6666564941406,3075
137.3333282470703,398.6666564941406,3088
137.3333282470703,401.3333435058594,3102
138.6666717529297,402.6666564941406,3114
140,405.3333435058594,3127
142.6666717529297,406.6666564941406,3153
145.3333282470703,409.3333435058594,3167
146.6666717529297,409.3333435058594,3177
149.3333282470703,410.6666564941406,3191
152,410.6666564941406,3204
156,412,3220
160,412,3229
164,413.3333435058594,3242
168,413.3333435058594,3268
172,413.3333435058594,3280
176,414.6666564941406,3292
178.6666717529297,414.6666564941406,3306
181.3333282470703,414.6666564941406,3320
184,412,3344
188,409.3333435058594,3357
189.3333282470703,406.6666564941406,3372
192,404,3395
194.6666717529297,401.3333435058594,3407
196,400,3421
197.3333282470703,397.3333435058594,3436
198.6666717529297,396,3458
200,396,3473
