x,y,t
5,5,0
22,50,1279
26,82,1303
30,126,1316
36,174,1342
42,222,1354
48,266,1366
54,300,1394
58,324,1404
64,346,1432
68,366,1456
78,396,1483
86,408,1506
96,418,1522
110,426,1546
126,430,1560
148,432,1583
176,432,1597
206,430,1613
236,428,1635
268,426,1649
296,424,1664
324,422,1688
360,420,1701
394,418,1714
424,418,1735
454,420,1748
482,424,1763
510,426,1786
534,430,1809
556,432,1831
574,434,1844
590,436,1854
606,436,1878
618,436,1894
630,436,1916
640,434,1930
648,434,1948
654,432,1967
660,432,1981
664,430,2006
670,428,2019
676,426,2031
684,424,2058
692,422,2069
700,420,2096
706,418,2110
712,418,2121
716,416,2147
720,416,2161
722,416,2185
724,416,2198
726,416,2215
728,416,2235
