x,y,t
196,396,1375
198,396,1388
204,396,1413
218,392,1427
264,377,1440
356,350,1452
358,349,1465
407,337,1482
486,327,1492
545,328,1504
578,332,1518
607,342,1529
630,356,1555
646,369,1568
656,379,1580
661,388,1594
665,388,1817
672,389,1841
680,391,1851
688,392,1875
694,392,1889
699,393,1900
704,393,1927
707,393,1940
710,393,1951
712,392,1978
714,392,1991
715,391,2003
717,388,2016
719,383,2042
722,375,2053
724,362,2066
725,348,2093
726,325,2107
725,303,2118
723,283,2131
721,266,2156
718,250,2169
716,236,2181
714,218,2208
712,201,2220
711,188,2233
710,175,2259
710,166,2272
710,162,2506
710,152,2517
710,141,2529
710,130,2552
710,120,2566
711,112,2579
711,104,2605
711,96,2617
712,88,2630
713,82,2658
713,77,2672
714,73,2685
714,69,2699
714,66,2723
714,64,2743
714,62,2754
714,59,2765
714,56,2785
713,50,2799
711,45,2811
709,40,2834
707,36,2847
705,33,2874
704,32,2885
704,30,2898
703,30,2923
703,29,2937
703,29,2962
704,29,3014
704,29,3026
704,29,3052
705,29,3077
705,29,3103
