x,y,t
88,901,t
89,900,t
109,884,t
163,856,t
241,814,t
333,756,t
465,662,t
543,596,t
603,538,t
649,490,t
669,463,t
670,455,t
666,447,t
634,428,t
582,414,t
506,402,t
416,398,t
324,408,t
252,420,t
197,424,t
185,419,t
177,409,t
170,399,t
162,388,t
155,377,t
153,356,t
153,332,t
151,314,t
149,299,t
147,289,t
146,286,t
146,284,t
146,283,t
146,282,t
146,283,t
145,285,t
140,325,t
130,393,t
120,467,t
106,549,t
86,705,t
74,787,t
70,847,t
66,880,t
63,893,t
62,897,t
61,897,t
61,894,t
62,890,t
66,882,t
69,880,t
71,879,t
74,880,t
75,881,t
76,882,t
77,883,t
77,886,t
78,894,t
78,900,t
78,902,t
78,903,t
78,905,t
79,907,t
79,908,t
