x,y,t
809,83,t
795,99,t
769,135,t
751,185,t
804,231,t
862,281,t
870,286,t
858,305,t
830,373,t
804,396,t
780,397,t
748,419,t
716,435,t
684,454,t
635,483,t
613,497,t
602,503,t
599,504,t
588,507,t
566,514,t
488,538,t
416,570,t
340,598,t
268,618,t
208,640,t
171,652,t
167,653,t
167,652,t
168,652,t
178,642,t
184,631,t
190,621,t
194,611,t
198,600,t
200,595,t
204,575,t
205,566,t
205,557,t
205,549,t
205,544,t
205,542,t
205,539,t
204,532,t
204,528,t
203,526,t
202,526,t
201,526,t
202,526,t
202,526,t
208,524,t
224,517,t
241,510,t
260,506,t
288,501,t
319,497,t
346,494,t
382,489,t
400,487,t
417,487,t
430,487,t
448,487,t
453,488,t
465,489,t
504,484,t
533,481,t
566,474,t
596,467,t
630,455,t
657,448,t
685,443,t
694,442,t
699,442,t
704,443,t
711,446,t
717,451,t
729,461,t
736,468,t
742,474,t
747,478,t
749,480,t
750,481,t
750,480,t
750,475,t
752,446,t
752,411,t
752,369,t
748,328,t
742,292,t
735,265,t
732,240,t
730,228,t
729,221,t
728,213,t
726,207,t
724,201,t
720,196,t
711,187,t
708,183,t
705,179,t
703,176,t
702,173,t
701,171,t
702,168,t
703,160,t
704,154,t
705,148,t
707,141,t
709,135,t
709,129,t
710,120,t
710,114,t
710,108,t
711,102,t
714,98,t
720,91,t
727,84,t
729,82,t
729,83,t
729,84,t
728,84,t
726,87,t
712,99,t
692,119,t
614,191,t
558,255,t
492,323,t
422,397,t
332,489,t
248,577,t
118,709,t
40,789,t
0,857,t
0,905,t
0,936,t
0,949,t
0,951,t
1,952,t
1,953,t
4,956,t
5,962,t
5,979,t
9,980,t
19,980,t
36,980,t
47,980,t
62,972,t
71,963,t
79,946,t
90,919,t
99,891,t
105,875,t
109,866,t
108,866,t
104,872,t
93,893,t
88,901,t
88,902,t
87,901,t
87,901,t
