x,y,t
90,915,t
91,914,t
95,907,t
102,896,t
113,879,t
127,853,t
143,825,t
159,795,t
171,765,t
183,729,t
191,697,t
197,667,t
197,631,t
191,595,t
185,561,t
181,533,t
175,507,t
169,483,t
161,461,t
151,439,t
139,419,t
131,401,t
123,384,t
118,370,t
113,358,t
106,344,t
101,334,t
96,325,t
91,317,t
87,310,t
85,305,t
82,300,t
79,295,t
75,290,t
72,285,t
65,270,t
61,266,t
59,261,t
55,255,t
51,250,t
47,245,t
45,240,t
42,235,t
40,231,t
39,225,t
39,217,t
39,208,t
39,199,t
40,190,t
42,182,t
42,173,t
42,167,t
43,158,t
43,151,t
42,143,t
39,136,t
36,130,t
34,125,t
34,120,t
34,116,t
35,111,t
35,106,t
36,101,t
37,97,t
38,94,t
39,90,t
41,86,t
41,83,t
41,80,t
41,77,t
41,74,t
41,73,t
41,71,t
41,69,t
41,68,t
41,67,t
41,66,t
42,65,t
42,64,t
42,63,t
42,62,t
43,61,t
43,60,t
43,59,t
44,58,t
44,56,t
44,55,t
44,54,t
44,53,t
44,52,t
43,51,t
42,50,t
42,49,t
41,48,t
40,47,t
40,46,t
40,45,t
39,44,t
39,43,t
39,42,t
39,41,t
39,38,t
39,37,t
39,36,t
39,35,t
39,34,t
39,33,t
39,32,t
39,31,t
39,30,t
39,28,t
39,27,t
39,25,t
39,24,t
38,23,t
38,22,t
37,21,t
37,20,t
37,19,t
37,18,t
37,17,t
36,16,t
36,15,t
36,14,t
36,13,t
35,13,t
34,13,t
33,13,t
33,14,t
33,14,t
32,15,t
31,16,t
30,17,t
29,18,t
28,18,t
28,19,t
27,22,t
26,23,t
25,28,t
24,32,t
21,38,t
20,43,t
19,51,t
17,60,t
16,69,t
14,77,t
13,84,t
12,92,t
10,100,t
9,109,t
7,118,t
6,125,t
5,132,t
3,138,t
2,144,t
1,152,t
0,160,t
0,169,t
0,176,t
0,185,t
0,191,t
0,199,t
0,206,t
0,211,t
0,216,t
0,219,t
0,222,t
0,225,t
0,228,t
0,232,t
0,237,t
0,241,t
0,246,t
0,251,t
0,255,t
0,261,t
0,266,t
0,272,t
0,279,t
1,284,t
2,288,t
3,293,t
3,297,t
5,306,t
7,311,t
8,318,t
9,322,t
10,328,t
11,333,t
13,338,t
13,341,t
14,342,t
14,344,t
14,345,t
14,346,t
15,347,t
15,348,t
16,349,t
17,351,t
18,353,t
19,355,t
20,357,t
21,359,t
22,362,t
23,365,t
24,368,t
25,370,t
26,373,t
27,375,t
28,377,t
29,380,t
30,382,t
31,384,t
32,386,t
33,389,t
34,392,t
35,395,t
36,398,t
37,401,t
38,403,t
39,406,t
40,407,t
41,408,t
42,410,t
43,411,t
45,413,t
47,415,t
50,417,t
53,419,t
56,421,t
58,423,t
61,424,t
64,425,t
66,426,t
69,427,t
73,427,t
76,427,t
80,427,t
84,427,t
90,426,t
98,425,t
107,423,t
119,420,t
128,419,t
142,415,t
156,414,t
170,410,t
183,405,t
200,400,t
217,394,t
237,388,t
255,382,t
271,376,t
286,371,t
302,366,t
320,360,t
338,354,t
352,350,t
366,345,t
379,340,t
391,337,t
402,333,t
411,331,t
420,329,t
431,327,t
442,326,t
453,324,t
462,323,t
470,321,t
479,321,t
490,320,t
501,318,t
508,317,t
516,316,t
521,316,t
527,316,t
532,316,t
535,316,t
538,316,t
542,317,t
547,318,t
551,319,t
556,321,t
561,324,t
566,326,t
571,329,t
576,331,t
580,332,t
585,334,t
591,337,t
596,338,t
601,341,t
606,342,t
611,344,t
615,345,t
620,348,t
626,350,t
631,353,t
636,354,t
641,355,t
645,357,t
650,359,t
655,361,t
658,362,t
662,363,t
665,364,t
669,365,t
671,366,t
672,366,t
673,366,t
673,367,t
674,368,t
675,369,t
676,370,t
677,371,t
678,372,t
680,374,t
681,375,t
682,376,t
682,377,t
683,378,t
684,380,t
685,383,t
688,386,t
691,390,t
695,395,t
699,399,t
703,402,t
705,406,t
707,408,t
708,409,t
709,410,t
710,410,t
710,411,t
710,411,t
711,412,t
711,413,t
711,414,t
711,415,t
711,416,t
706,419,t
694,428,t
676,440,t
656,456,t
634,476,t
608,498,t
580,520,t
544,546,t
506,576,t
464,604,t
424,632,t
384,664,t
346,696,t
308,728,t
242,782,t
214,808,t
186,832,t
162,850,t
144,866,t
133,876,t
126,880,t
124,884,t
123,884,t
123,885,t
122,886,t
121,886,t
120,887,t
118,888,t
117,889,t
116,890,t
115,891,t
114,892,t
113,892,t
112,893,t
111,893,t
110,894,t
109,895,t
108,896,t
107,897,t
106,898,t
105,899,t
104,900,t
103,901,t
102,902,t
101,903,t
99,904,t
98,905,t
97,906,t
96,907,t
96,908,t
95,908,t
