x,y,t
650,227,t
645,236,t
643,239,t
641,240,t
640,240,t
640,241,t
640,242,t
640,243,t
639,243,t
639,244,t
638,244,t
637,245,t
636,246,t
635,247,t
634,249,t
633,250,t
632,251,t
631,252,t
630,253,t
629,254,t
629,255,t
628,256,t
627,257,t
626,258,t
625,259,t
624,260,t
623,261,t
622,263,t
620,265,t
618,266,t
617,268,t
616,269,t
615,270,t
614,271,t
609,277,t
605,282,t
600,287,t
594,293,t
588,299,t
580,304,t
570,316,t
554,327,t
535,343,t
513,361,t
487,379,t
459,397,t
431,415,t
403,431,t
377,447,t
351,459,t
325,465,t
299,471,t
277,477,t
259,481,t
249,485,t
242,486,t
240,487,t
239,487,t
239,483,t
238,479,t
237,475,t
236,472,t
235,467,t
234,463,t
233,459,t
232,456,t
231,453,t
230,450,t
229,448,t
228,446,t
227,445,t
226,444,t
225,443,t
224,442,t
223,441,t
222,440,t
221,440,t
220,439,t
219,439,t
219,438,t
218,438,t
218,437,t
218,437,t
220,433,t
222,430,t
224,428,t
225,426,t
225,425,t
226,424,t
226,423,t
227,422,t
227,421,t
227,420,t
227,419,t
226,418,t
225,417,t
224,417,t
223,417,t
222,417,t
221,417,t
220,416,t
219,416,t
218,416,t
217,416,t
216,416,t
215,416,t
214,416,t
213,416,t
212,416,t
212,415,t
211,415,t
211,415,t
213,414,t
214,414,t
214,413,t
215,413,t
216,413,t
217,413,t
217,412,t
218,412,t
219,412,t
220,412,t
221,412,t
221,411,t
222,411,t
221,411,t
221,411,t
220,411,t
219,411,t
218,411,t
216,410,t
213,409,t
210,408,t
207,407,t
205,406,t
204,406,t
205,406,t
207,406,t
210,406,t
215,406,t
222,406,t
230,405,t
244,403,t
259,401,t
275,399,t
296,398,t
322,394,t
346,392,t
372,390,t
398,388,t
454,386,t
482,386,t
508,386,t
530,384,t
550,382,t
568,380,t
583,378,t
594,376,t
599,376,t
604,376,t
607,375,t
610,375,t
611,375,t
612,375,t
613,375,t
614,375,t
616,375,t
619,375,t
623,376,t
630,377,t
637,379,t
645,380,t
653,381,t
661,381,t
670,381,t
678,383,t
683,383,t
686,384,t
691,384,t
694,385,t
697,386,t
700,387,t
702,388,t
702,389,t
703,389,t
703,390,t
704,392,t
705,396,t
707,400,t
709,404,t
710,406,t
711,408,t
711,409,t
711,410,t
711,405,t
710,401,t
709,396,t
709,391,t
708,383,t
708,373,t
708,360,t
709,347,t
709,334,t
709,317,t
709,299,t
709,283,t
709,267,t
709,251,t
709,234,t
708,218,t
706,204,t
706,192,t
706,180,t
704,171,t
704,163,t
704,155,t
703,150,t
703,143,t
703,138,t
703,135,t
703,131,t
704,126,t
704,123,t
704,120,t
704,117,t
704,115,t
704,113,t
704,111,t
705,109,t
706,106,t
707,103,t
707,100,t
708,97,t
708,94,t
708,90,t
708,85,t
708,82,t
708,79,t
709,76,t
709,73,t
709,70,t
709,68,t
709,65,t
709,64,t
709,62,t
709,61,t
709,60,t
710,59,t
710,57,t
710,56,t
710,55,t
710,53,t
710,52,t
710,51,t
710,50,t
711,49,t
711,48,t
711,46,t
711,44,t
711,40,t
710,37,t
710,35,t
709,34,t
708,33,t
708,32,t
708,32,t
707,32,t
702,41,t
693,56,t
684,73,t
672,93,t
658,115,t
640,141,t
620,171,t
600,205,t
574,243,t
544,287,t
512,335,t
480,393,t
442,455,t
406,513,t
370,571,t
334,625,t
304,671,t
278,707,t
256,737,t
238,761,t
222,779,t
210,793,t
203,803,t
199,807,t
197,810,t
195,815,t
191,819,t
187,827,t
184,832,t
183,836,t
182,837,t
182,838,t
181,838,t
178,842,t
174,847,t
167,854,t
153,867,t
150,871,t
148,872,t
147,873,t
146,873,t
146,874,t
145,874,t
144,874,t
144,875,t
143,875,t
142,876,t
141,877,t
140,878,t
138,880,t
134,883,t
127,889,t
121,893,t
117,898,t
114,902,t
110,905,t
107,907,t
105,908,t
103,909,t
102,910,t
101,910,t
100,911,t
99,911,t
98,911,t
97,912,t
96,912,t
94,913,t
93,914,t
92,915,t
91,916,t
90,916,t
89,916,t
