x,y,t
820,78,t
813,81,t
804,84,t
783,92,t
736,101,t
658,121,t
604,133,t
550,137,t
504,141,t
464,149,t
433,155,t
403,161,t
390,164,t
379,166,t
362,169,t
338,175,t
313,184,t
270,198,t
242,203,t
212,207,t
188,209,t
161,209,t
144,206,t
124,198,t
113,188,t
102,176,t
89,164,t
78,155,t
71,148,t
67,145,t
64,142,t
62,140,t
60,135,t
58,132,t
56,129,t
54,127,t
52,125,t
48,118,t
43,112,t
39,105,t
35,100,t
31,97,t
29,95,t
25,92,t
24,90,t
23,90,t
23,92,t
23,97,t
24,100,t
25,103,t
29,133,t
37,184,t
50,228,t
72,279,t
94,335,t
114,387,t
136,427,t
176,475,t
204,495,t
222,506,t
239,510,t
258,512,t
287,508,t
339,493,t
379,481,t
423,471,t
462,465,t
489,462,t
517,462,t
559,458,t
585,455,t
608,452,t
619,449,t
625,448,t
630,447,t
636,446,t
638,446,t
640,447,t
643,450,t
650,457,t
653,462,t
664,475,t
667,479,t
670,483,t
672,485,t
674,487,t
676,489,t
678,491,t
679,491,t
681,492,t
683,492,t
685,492,t
691,491,t
700,488,t
713,481,t
719,479,t
721,478,t
716,480,t
692,491,t
651,507,t
603,523,t
551,547,t
489,575,t
425,601,t
331,635,t
291,655,t
266,669,t
255,679,t
246,695,t
234,711,t
220,733,t
214,745,t
212,754,t
210,758,t
208,760,t
206,763,t
201,773,t
191,785,t
176,801,t
165,810,t
158,816,t
152,820,t
147,828,t
142,834,t
132,847,t
121,859,t
111,870,t
106,878,t
105,879,t
104,880,t
104,881,t
103,882,t
103,883,t
102,884,t
101,886,t
99,888,t
97,891,t
96,893,t
95,893,t
94,895,t
93,897,t
92,899,t
91,899,t
