x,y,t
92,897,t
94,889,t
96,881,t
98,872,t
100,860,t
109,842,t
119,815,t
133,758,t
139,721,t
146,688,t
158,645,t
172,591,t
188,525,t
202,453,t
220,367,t
227,337,t
229,332,t
229,333,t
222,350,t
206,387,t
193,412,t
191,427,t
188,434,t
188,437,t
188,440,t
187,446,t
185,453,t
183,461,t
181,469,t
180,470,t
182,471,t
184,472,t
189,473,t
195,474,t
200,476,t
205,477,t
222,480,t
232,480,t
280,476,t
318,472,t
356,466,t
389,463,t
419,459,t
451,455,t
491,454,t
509,454,t
520,455,t
530,457,t
542,460,t
559,462,t
597,468,t
619,469,t
633,470,t
640,470,t
642,470,t
643,471,t
646,474,t
649,477,t
681,494,t
702,498,t
719,498,t
734,494,t
741,490,t
743,488,t
745,484,t
747,481,t
747,480,t
746,479,t
743,473,t
737,464,t
728,450,t
717,430,t
702,403,t
688,376,t
674,352,t
661,318,t
656,301,t
654,284,t
654,269,t
655,259,t
657,250,t
661,238,t
665,211,t
669,198,t
671,190,t
673,185,t
675,180,t
677,177,t
684,167,t
691,160,t
698,153,t
705,146,t
707,143,t
709,141,t
712,137,t
716,131,t
721,124,t
726,119,t
728,117,t
730,115,t
731,114,t
730,113,t
729,113,t
728,113,t
726,113,t
725,113,t
723,113,t
719,116,t
713,122,t
692,142,t
662,174,t
624,222,t
580,282,t
528,356,t
468,440,t
400,526,t
316,626,t
280,674,t
256,712,t
241,740,t
233,762,t
224,780,t
212,804,t
195,837,t
189,848,t
184,854,t
176,865,t
169,872,t
162,881,t
153,889,t
148,891,t
140,893,t
134,895,t
129,896,t
125,896,t
122,896,t
119,896,t
118,897,t
115,897,t
112,897,t
107,897,t
105,896,t
103,895,t
101,895,t
99,894,t
97,893,t
95,892,t
94,892,t
