x,y,t
119,239,1668
114,261,1693
109,296,1706
104,342,1749
101,407,1750
101,428,1758
101,441,1770
102,452,1783
103,462,1795
104,473,1808
105,483,1821
106,494,1833
107,504,1847
109,515,1859
114,536,1873
116,544,1884
119,554,1897
121,562,1911
124,569,1925
128,576,1935
131,583,1949
134,588,1962
136,593,1975
139,598,1987
140,600,2000
141,601,2013
142,603,2026
143,603,2038
145,603,2050
147,604,2065
150,604,2077
155,603,2090
166,602,2102
173,601,2118
180,600,2127
189,600,2142
198,600,2153
209,600,2167
219,600,2179
230,600,2192
269,604,2205
290,607,2218
304,609,2232
321,612,2244
346,611,2277
358,610,2282
367,607,2294
371,605,2542
380,601,2566
389,596,2576
399,593,2589
408,590,2601
417,588,2615
425,587,2639
433,586,2652
440,585,2665
446,585,2679
451,585,2693
456,584,2717
459,584,2730
462,584,2742
465,584,2756
467,584,2768
470,584,2799
473,584,2806
476,584,2821
478,584,2836
481,583,2845
482,583,2858
484,583,2884
485,583,2896
485,583,2909
486,583,2922
486,583,2937
