x,y,t
127,241,1736
125,253,1760
121,274,1774
119,305,1787
118,342,1799
119,372,1812
120,394,1826
122,427,1840
123,440,1850
124,450,1863
125,460,1877
126,469,1891
128,478,1903
130,486,1913
132,493,1927
141,515,1954
144,521,1966
147,528,1979
150,534,1991
153,540,2007
156,545,2017
178,575,2029
176,581,2243
174,590,2266
173,599,2277
171,608,2300
169,616,2311
168,623,2325
166,630,2341
165,636,2363
164,641,2376
163,645,2390
163,648,2404
163,650,2429
163,651,2440
163,652,2454
164,653,2471
167,653,2478
173,652,2504
183,649,2520
199,644,2534
220,639,2546
245,633,2559
265,629,2575
284,626,2590
300,624,2603
313,623,2613
325,623,2626
338,622,2647
350,621,2660
363,621,2673
374,620,2683
384,619,2708
395,617,2721
406,615,2734
416,612,2747
424,610,2759
431,607,2774
437,605,2785
442,604,2797
446,603,2811
449,602,2825
452,601,2849
454,601,2861
455,600,2875
460,598,2938
460,598,2963
461,598,2988
462,597,2988
464,596,3003
467,594,3015
469,591,3041
472,587,3055
474,584,3066
475,582,3079
476,580,3094
477,578,3118
478,577,3130
478,576,3143
