x,y,t
394,199,t
391,200,t
388,203,t
387,204,t
385,205,t
384,206,t
383,207,t
381,209,t
380,210,t
379,211,t
378,213,t
377,214,t
375,217,t
373,219,t
371,221,t
368,224,t
366,226,t
364,227,t
363,228,t
362,229,t
361,230,t
360,231,t
359,233,t
357,234,t
355,235,t
354,236,t
353,237,t
352,238,t
351,238,t
350,239,t
349,240,t
348,241,t
348,242,t
347,245,t
344,252,t
341,261,t
338,271,t
333,289,t
331,297,t
330,309,t
328,320,t
326,333,t
325,347,t
323,360,t
323,373,t
323,389,t
323,406,t
325,426,t
329,452,t
331,476,t
337,500,t
343,520,t
349,537,t
355,555,t
360,569,t
365,582,t
371,596,t
377,608,t
386,620,t
396,630,t
405,637,t
415,644,t
422,650,t
429,654,t
438,657,t
446,658,t
458,658,t
474,656,t
496,652,t
518,644,t
542,636,t
568,626,t
590,618,t
612,608,t
634,596,t
656,582,t
676,566,t
698,548,t
718,530,t
740,508,t
758,486,t
778,466,t
794,444,t
810,422,t
822,404,t
829,389,t
834,377,t
837,368,t
839,359,t
837,352,t
835,347,t
830,346,t
828,346,t
827,346,t
826,346,t
825,346,t
813,347,t
791,351,t
774,359,t
763,364,t
762,365,t
761,365,t
758,365,t
746,365,t
725,365,t
705,365,t
688,369,t
675,374,t
668,381,t
667,385,t
668,386,t
674,386,t
677,387,t
678,387,t
677,387,t
674,386,t
643,384,t
609,382,t
579,384,t
551,386,t
529,388,t
514,388,t
503,388,t
500,387,t
497,387,t
494,386,t
490,385,t
485,383,t
479,381,t
467,379,t
453,374,t
437,373,t
419,371,t
401,369,t
385,367,t
372,365,t
363,365,t
356,364,t
351,363,t
347,362,t
343,359,t
340,357,t
337,354,t
333,349,t
332,345,t
332,341,t
333,338,t
337,333,t
341,326,t
347,317,t
353,306,t
362,292,t
371,277,t
379,262,t
387,247,t
394,231,t
402,217,t
408,205,t
419,190,t
428,180,t
436,172,t
442,165,t
450,159,t
457,155,t
461,154,t
463,154,t
465,154,t
467,155,t
470,158,t
475,162,t
482,168,t
487,172,t
492,177,t
498,181,t
504,185,t
516,189,t
532,195,t
547,201,t
561,206,t
570,207,t
577,209,t
582,210,t
585,211,t
586,211,t
589,210,t
592,209,t
595,208,t
599,207,t
604,206,t
607,206,t
610,205,t
612,205,t
613,205,t
615,206,t
617,209,t
621,215,t
625,229,t
631,253,t
637,289,t
641,333,t
647,373,t
655,411,t
663,439,t
671,459,t
674,465,t
677,469,t
678,470,t
679,471,t
676,469,t
674,467,t
671,465,t
669,464,t
668,463,t
667,462,t
666,461,t
666,460,t
666,459,t
666,458,t
665,457,t
665,456,t
665,455,t
665,454,t
666,451,t
667,448,t
668,445,t
669,442,t
670,439,t
671,436,t
672,433,t
673,430,t
674,428,t
674,427,t
675,425,t
675,422,t
676,419,t
677,414,t
678,411,t
679,402,t
679,399,t
679,395,t
680,393,t
680,391,t
680,390,t
680,388,t
680,387,t
680,385,t
680,384,t
680,383,t
679,382,t
679,381,t
679,380,t
676,382,t
673,387,t
669,393,t
663,402,t
657,412,t
649,425,t
643,438,t
635,453,t
630,467,t
623,483,t
617,500,t
611,520,t
603,542,t
597,560,t
594,576,t
590,590,t
587,600,t
584,608,t
580,614,t
575,621,t
571,628,t
567,633,t
564,640,t
558,647,t
552,656,t
545,664,t
539,674,t
533,683,t
525,691,t
519,697,t
514,702,t
508,707,t
501,713,t
494,719,t
487,725,t
482,731,t
477,736,t
473,740,t
470,742,t
468,743,t
467,744,t
466,745,t
464,746,t
463,746,t
462,746,t
461,746,t
458,745,t
453,744,t
449,742,t
441,739,t
429,738,t
415,736,t
402,736,t
390,736,t
378,736,t
369,737,t
361,737,t
354,736,t
349,735,t
346,734,t
343,733,t
342,733,t
341,733,t
338,734,t
335,737,t
332,740,t
324,744,t
315,749,t
305,754,t
291,759,t
281,762,t
273,765,t
268,767,t
261,771,t
254,775,t
246,780,t
238,784,t
230,790,t
225,796,t
220,800,t
216,805,t
214,808,t
213,813,t
211,818,t
210,822,t
209,826,t
209,829,t
208,832,t
207,835,t
206,838,t
205,841,t
204,845,t
203,849,t
202,852,t
201,854,t
200,856,t
199,858,t
198,860,t
195,862,t
191,865,t
187,867,t
179,870,t
163,874,t
159,875,t
156,875,t
153,875,t
151,874,t
150,873,t
149,872,t
149,870,t
149,867,t
151,863,t
153,855,t
158,846,t
164,833,t
173,819,t
185,801,t
201,779,t
217,759,t
235,739,t
253,719,t
271,701,t
285,685,t
296,674,t
307,663,t
316,656,t
323,650,t
329,646,t
332,642,t
337,639,t
342,638,t
345,635,t
349,634,t
352,633,t
354,633,t
357,633,t
360,633,t
364,634,t
369,634,t
375,635,t
380,637,t
384,638,t
389,639,t
393,640,t
398,641,t
403,645,t
408,649,t
412,654,t
417,659,t
423,665,t
428,670,t
433,675,t
439,681,t
445,686,t
450,689,t
453,690,t
456,691,t
457,692,t
458,692,t
459,689,t
460,683,t
462,673,t
466,658,t
475,624,t
479,608,t
482,594,t
484,578,t
488,562,t
492,544,t
498,526,t
503,512,t
508,498,t
515,486,t
523,474,t
532,462,t
544,450,t
555,439,t
565,430,t
579,422,t
594,412,t
609,403,t
623,396,t
641,388,t
659,378,t
674,370,t
688,363,t
698,358,t
703,356,t
705,355,t
704,355,t
702,356,t
697,360,t
692,365,t
687,371,t
681,376,t
674,383,t
664,393,t
651,407,t
631,425,t
605,447,t
575,473,t
541,501,t
505,529,t
469,555,t
437,581,t
409,607,t
381,629,t
349,655,t
317,679,t
287,699,t
255,721,t
223,747,t
191,769,t
161,787,t
133,805,t
111,821,t
95,833,t
84,843,t
77,850,t
71,858,t
69,861,t
68,862,t
68,863,t
69,863,t
69,863,t
70,863,t
70,864,t
71,865,t
72,868,t
73,872,t
74,875,t
75,878,t
76,881,t
78,884,t
80,887,t
81,889,t
82,890,t
83,891,t
