x,y,t
84,888,t
85,886,t
88,882,t
92,877,t
98,872,t
105,863,t
118,848,t
134,830,t
152,812,t
172,794,t
198,772,t
226,750,t
252,728,t
278,710,t
304,690,t
332,668,t
364,644,t
398,620,t
432,598,t
464,582,t
486,570,t
497,563,t
501,561,t
502,560,t
498,565,t
491,574,t
475,590,t
457,608,t
437,626,t
417,644,t
399,660,t
383,674,t
370,685,t
358,695,t
340,708,t
333,713,t
324,723,t
315,735,t
304,750,t
294,766,t
284,781,t
277,794,t
271,803,t
266,811,t
262,818,t
257,825,t
246,835,t
230,847,t
212,863,t
194,877,t
178,889,t
163,901,t
152,909,t
146,916,t
140,920,t
136,922,t
134,925,t
133,926,t
132,927,t
132,928,t
132,928,t
132,929,t
133,929,t
136,928,t
139,926,t
143,924,t
147,922,t
150,918,t
154,916,t
156,914,t
159,912,t
161,910,t
164,909,t
166,907,t
167,906,t
169,905,t
171,903,t
173,901,t
174,900,t
175,899,t
176,898,t
177,897,t
179,896,t
180,895,t
182,894,t
185,893,t
188,891,t
190,890,t
192,889,t
193,888,t
194,887,t
195,886,t
196,884,t
197,883,t
198,882,t
199,881,t
200,880,t
201,878,t
203,878,t
207,874,t
213,869,t
219,864,t
227,858,t
237,847,t
249,836,t
257,826,t
267,814,t
283,796,t
305,776,t
331,756,t
357,730,t
385,702,t
411,674,t
437,648,t
463,622,t
489,596,t
513,574,t
555,538,t
571,520,t
585,502,t
597,484,t
605,469,t
614,449,t
622,432,t
632,414,t
644,398,t
656,382,t
665,369,t
672,360,t
678,350,t
682,341,t
687,331,t
692,321,t
695,313,t
697,304,t
698,296,t
699,288,t
701,281,t
702,276,t
703,271,t
703,268,t
703,267,t
703,266,t
703,265,t
700,268,t
689,282,t
673,302,t
659,322,t
647,340,t
635,356,t
626,367,t
619,375,t
615,383,t
611,388,t
608,393,t
607,397,t
607,402,t
607,408,t
607,414,t
607,421,t
609,429,t
610,438,t
612,446,t
613,455,t
616,463,t
617,470,t
619,477,t
619,485,t
620,492,t
620,500,t
620,510,t
618,523,t
613,539,t
607,556,t
599,578,t
577,620,t
565,638,t
555,654,t
544,667,t
533,679,t
517,688,t
505,695,t
493,700,t
484,705,t
477,708,t
469,709,t
460,711,t
450,711,t
438,712,t
427,714,t
418,715,t
410,717,t
401,718,t
392,720,t
385,721,t
377,722,t
370,724,t
364,725,t
359,725,t
355,726,t
350,727,t
345,730,t
340,731,t
337,732,t
334,733,t
331,733,t
328,734,t
325,735,t
320,735,t
316,736,t
310,737,t
304,737,t
299,737,t
294,737,t
290,737,t
285,737,t
282,736,t
279,735,t
276,734,t
273,733,t
271,731,t
270,729,t
269,727,t
268,726,t
267,725,t
266,725,t
265,724,t
264,724,t
263,724,t
262,724,t
261,724,t
259,725,t
256,726,t
253,728,t
248,732,t
240,737,t
229,748,t
217,760,t
203,771,t
192,782,t
183,792,t
173,807,t
170,813,t
167,820,t
165,826,t
163,832,t
162,837,t
161,841,t
160,846,t
159,849,t
158,852,t
157,855,t
156,857,t
155,859,t
154,861,t
153,863,t
151,865,t
150,867,t
148,868,t
147,869,t
147,870,t
144,869,t
142,869,t
138,870,t
133,873,t
128,875,t
125,878,t
123,879,t
122,881,t
121,882,t
120,884,t
119,885,t
118,888,t
116,891,t
115,893,t
114,894,t
113,895,t
111,897,t
110,898,t
109,899,t
108,900,t
107,901,t
106,901,t
