x,y,t
245.67991638183594,551.193359375,3413
245.67991638183594,663.6077270507812,3449
261.9981384277344,713.468994140625,3462
286.4754943847656,747.0120849609375,3479
313.6725158691406,766.9566040039062,3497
349.9352722167969,774.2091064453125,3513
386.197998046875,770.582763671875,3530
441.49859619140625,753.3579711914062,3547
501.33209228515625,718.9083862304688,3563
557.539306640625,665.4208984375,3579
602.8677368164062,607.4005126953125,3596
636.4107666015625,551.193359375,3614
659.9815673828125,507.6780700683594,3630
670.8603515625,476.8547668457031,3647
671.7669067382812,452.3774108886719,3664
669.0471801757812,440.5920715332031,3682
655.4486694335938,426.08697509765625,3697
626.4384765625,409.76873779296875,3713
585.6430053710938,401.609619140625,3730
536.6882934570312,399.7965393066406,3746
487.73358154296875,403.4227600097656,3763
444.21832275390625,407.049072265625,3780
407.049072265625,412.4884338378906,3798
376.2257385253906,416.11474609375,3814
354.4681091308594,417.9278259277344,3830
342.6827087402344,417.9278259277344,3848
339.9630432128906,414.3016052246094,3864
340.8695983886719,412.4884338378906,3882
353.5615539550781,401.609619140625,3897
394.3570861816406,371.69287109375,3914
455.0971374511719,327.2710876464844,3932
514.9306640625,289.1951904296875,3948
575.6707153320312,258.37188720703125,3965
636.4107666015625,239.33395385742188,3984
693.5245361328125,235.7076873779297,3999
737.9463500976562,244.7733612060547,4014
773.302490234375,266.531005859375,4032
790.5272827148438,283.7557678222656,4048
812.284912109375,343.58929443359375,4066
812.284912109375,374.4125671386719,4082
800.4995727539062,417.0213317871094,4099
773.302490234375,474.1350402832031,4116
734.3201293945312,533.06201171875,4132
688.99169921875,582.9232177734375,4148
631.8779296875,620.092529296875,4165
564.7918701171875,644.5698852539062,4181
492.2664489746094,661.794677734375,4198
428.806640625,674.4866333007812,4215
371.69287109375,690.8048095703125,4232
325.4579162597656,708.9362182617188,4251
287.3820495605469,725.25439453125,4265
255.6521759033203,737.9463500976562,4282
233.89453125,742.4791870117188,4299
225.7354278564453,740.666015625,4315
222.10916137695312,730.69384765625,4333
220.29603576660156,706.2164916992188,4350
225.7354278564453,659.074951171875,4365
241.1470947265625,603.7742919921875,4383
264.71783447265625,549.3801879882812,4399
296.44775390625,493.1730041503906,4416
335.43017578125,434.2460632324219,4432
381.6651306152344,376.2257385253906,4450
429.7132568359375,325.4579162597656,4466
479.574462890625,281.9426574707031,4483
523.9962768554688,246.5865020751953,4499
561.1655883789062,219.3894500732422,4516
587.4560546875,202.1646728515625,4532
601.0545654296875,193.0989990234375,4550
603.7742919921875,188.566162109375,4566
601.0545654296875,187.6595916748047,4592
594.7086181640625,187.6595916748047,4599
556.6327514648438,192.19241333007812,4617
403.4227600097656,250.2127685546875,4652
