x,y,t
26.66666603088379,38.66666793823242,2047
28,48,2061
30.66666603088379,57.33333206176758,2071
32,68,2098
33.33333206176758,80,2112
34.66666793823242,92,2144
36,105.33333587646484,2149
36,118.66666412353516,2164
37.33333206176758,132,2187
37.33333206176758,146.6666717529297,2201
37.33333206176758,160,2226
38.66666793823242,173.3333282470703,2238
38.66666793823242,186.6666717529297,2264
38.66666793823242,200,2278
40,213.3333282470703,2301
40,225.3333282470703,2316
40,237.3333282470703,2330
40,249.3333282470703,2354
41.33333206176758,260,2367
41.33333206176758,270.6666564941406,2394
42.66666793823242,282.6666564941406,2405
42.66666793823242,293.3333435058594,2417
44,302.6666564941406,2444
44,313.3333435058594,2456
45.33333206176758,324,2469
46.66666793823242,333.3333435058594,2496
48,344,2510
49.33333206176758,353.3333435058594,2520
50.66666793823242,364,2533
52,372,2546
52,380,2562
52,386.6666564941406,2571
53.33333206176758,393.3333435058594,2597
53.33333206176758,400,2611
54.66666793823242,406.6666564941406,2622
54.66666793823242,414.6666564941406,2635
57.33333206176758,428,2662
58.66666793823242,433.3333435058594,2674
58.66666793823242,438.6666564941406,2685
60,442.6666564941406,2699
62.66666793823242,453.3333435058594,2714
65.33333587646484,457.3333435058594,2726
66.66666412353516,461.3333435058594,2738
68,465.3333435058594,2751
69.33333587646484,468,2764
69.33333587646484,470.6666564941406,2778
70.66666412353516,474.6666564941406,2789
72,477.3333435058594,2801
73.33333587646484,481.3333435058594,2815
73.33333587646484,485.3333435058594,2829
74.66666412353516,490.6666564941406,2839
74.66666412353516,494.6666564941406,2853
74.66666412353516,500,2866
74.66666412353516,502.6666564941406,2880
74.66666412353516,504,2891
74.66666412353516,505.3333435058594,2904
76,505.3333435058594,3002
77.33333587646484,502.6666564941406,3016
78.66666412353516,500,3029
81.33333587646484,496,3039
84,490.6666564941406,3050
89.33333587646484,485.3333435058594,3064
97.33333587646484,480,3073
106.66666412353516,473.3333435058594,3085
120,464,3098
137.3333282470703,454.6666564941406,3121
161.3333282470703,445.3333435058594,3134
186.6666717529297,437.3333435058594,3147
222.6666717529297,432,3163
264,426.6666564941406,3177
308,424,3185
340,424,3198
369.3333435058594,424,3224
393.3333435058594,425.3333435058594,3236
416,426.6666564941406,3249
433.3333435058594,428,3264
448,429.3333435058594,3276
458.6666564941406,426.6666564941406,3286
470.6666564941406,425.3333435058594,3538
504,424,3562
569.3333129882812,428,3572
626.6666870117188,433.3333435058594,3584
653.3333129882812,437.3333435058594,3609
669.3333129882812,440,3620
684,442.6666564941406,3646
696,445.3333435058594,3661
705.3333129882812,446.6666564941406,3672
713.3333129882812,448,3697
720,449.3333435058594,3712
724,450.6666564941406,3736
729.3333129882812,450.6666564941406,3748
732,450.6666564941406,3763
736,449.3333435058594,3786
738.6666870117188,448,3801
741.3333129882812,446.6666564941406,3826
742.6666870117188,445.3333435058594,3837
745.3333129882812,444,3851
746.6666870117188,442.6666564941406,3877
748,440,3901
748,437.3333435058594,3940
746.6666870117188,436,3952
744,433.3333435058594,3982
741.3333129882812,429.3333435058594,3996
737.3333129882812,428,4009
734.6666870117188,426.6666564941406,4020
732,425.3333435058594,4035
728,424,4052
726.6666870117188,422.6666564941406,4064
725.3333129882812,421.3333435058594,4077
724,420,4099
722.6666870117188,418.6666564941406,4111
721.3333129882812,417.3333435058594,4145
720,416,4221
