x,y,t
704,42.66666793823242,5388
705.3333129882812,54.66666793823242,5401
706.6666870117188,68,5425
708,81.33333587646484,5439
709.3333129882812,94.66666412353516,5450
709.3333129882812,108,5463
709.3333129882812,118.66666412353516,5477
710.6666870117188,128,5502
710.6666870117188,137.3333282470703,5515
709.3333129882812,146.6666717529297,5528
708,157.3333282470703,5542
706.6666870117188,168,5557
705.3333129882812,177.3333282470703,5565
704,188,5592
701.3333129882812,197.3333282470703,5606
700,206.6666717529297,5617
697.3333129882812,216,5629
696,224,5643
694.6666870117188,232,5655
693.3333129882812,241.3333282470703,5669
692,250.6666717529297,5694
690.6666870117188,260,5707
690.6666870117188,269.3333435058594,5722
690.6666870117188,278.6666564941406,5731
690.6666870117188,289.3333435058594,5745
690.6666870117188,301.3333435058594,5760
692,312,5772
693.3333129882812,324,5783
696,346.6666564941406,5796
696,357.3333435058594,5811
696,365.3333435058594,5829
696,372,5834
697.3333129882812,377.3333435058594,5855
697.3333129882812,382.6666564941406,5860
697.3333129882812,388,5875
696,392,5887
696,396,5897
694.6666870117188,398.6666564941406,5912
694.6666870117188,401.3333435058594,5925
694.6666870117188,404,5942
694.6666870117188,408,5950
694.6666870117188,409.3333435058594,5963
690.6666870117188,409.3333435058594,6227
684,410.6666564941406,6239
676,410.6666564941406,6249
668,410.6666564941406,6260
656,410.6666564941406,6274
645.3333129882812,412,6283
633.3333129882812,412,6295
621.3333129882812,412,6309
606.6666870117188,412,6324
593.3333129882812,412,6333
578.6666870117188,413.3333435058594,6347
562.6666870117188,413.3333435058594,6372
530.6666870117188,414.6666564941406,6386
514.6666870117188,416,6398
500,417.3333435058594,6410
484,417.3333435058594,6425
450.6666564941406,418.6666564941406,6437
436,418.6666564941406,6449
421.3333435058594,420,6462
408,420,6475
396,420,6491
384,420,6499
373.3333435058594,420,6513
362.6666564941406,420,6525
352,420,6540
342.6666564941406,420,6551
333.3333435058594,418.6666564941406,6564
326.6666564941406,418.6666564941406,6577
318.6666564941406,418.6666564941406,6591
304,417.3333435058594,6604
298.6666564941406,417.3333435058594,6615
292,417.3333435058594,6628
285.3333435058594,416,6642
280,416,6658
276,416,6666
272,414.6666564941406,6678
268,414.6666564941406,6692
264,414.6666564941406,6707
260,414.6666564941406,6716
256,414.6666564941406,6730
253.3333282470703,414.6666564941406,6743
249.3333282470703,416,6758
246.6666717529297,416,6770
240,416,6781
238.6666717529297,416,6793
237.3333282470703,416,6809
234.6666717529297,416,6824
233.3333282470703,416,6832
230.6666717529297,416,6846
229.3333282470703,416,6859
226.6666717529297,416,6872
224,416,6886
222.6666717529297,414.6666564941406,6896
221.3333282470703,414.6666564941406,6910
218.6666717529297,414.6666564941406,6934
217.3333282470703,414.6666564941406,6947
216,413.3333435058594,6961
213.3333282470703,413.3333435058594,6975
212,413.3333435058594,6991
209.3333282470703,413.3333435058594,7000
210.6666717529297,413.3333435058594,7076
