x,y,t
27,29,2644
27,35,2671
27,47,2688
26,69,2704
23,92,2722
20,115,2738
15,139,2755
10,170,2771
6,199,2789
4,244,2804
7,264,2823
12,288,2837
23,314,2856
34,340,2871
46,361,2888
66,397,2904
71,406,2921
75,413,2939
81,423,2954
83,427,2972
85,430,2988
88,435,3004
91,437,3022
95,439,3038
102,439,3055
129,432,3072
146,427,3088
198,414,3105
290,399,3121
327,390,3138
350,386,3155
376,382,3171
386,381,3188
394,380,3205
406,378,3221
409,378,3237
412,378,3254
422,377,3472
448,377,3494
472,378,3505
503,381,3521
524,384,3540
536,385,3555
548,387,3571
558,389,3588
568,391,3606
576,393,3621
584,395,3637
591,396,3655
604,399,3671
611,400,3690
616,402,3704
622,403,3721
627,404,3738
631,405,3755
634,406,3771
637,406,3789
640,407,3804
647,408,3821
650,408,3839
655,408,3855
660,409,3872
665,409,3889
671,410,3905
676,410,3921
682,410,3938
687,410,3955
692,410,3971
696,411,3989
699,411,4004
705,411,4021
707,410,4038
711,410,4055
712,410,4077
713,409,4091
714,409,4104
715,409,4121
715,408,4138
715,408,4154
716,407,4171
716,407,4188
717,406,4205
717,405,4221
718,405,4244
718,405,4269
