x,y,t
28,42,2251
28,74,2275
28,110,2302
28,146,2326
26,178,2352
24,210,2366
24,238,2390
24,266,2418
24,294,2441
26,320,2467
28,342,2480
30,362,2505
34,380,2532
38,394,2557
44,408,2570
48,418,2595
54,424,2620
62,432,2634
72,438,2658
86,444,2686
104,446,2718
126,448,2722
154,448,2750
186,444,2774
220,440,2800
254,434,2824
298,430,2837
334,426,2868
370,422,2894
400,418,2906
428,414,2933
458,410,2957
484,406,2982
508,402,3004
532,400,3027
552,400,3054
574,400,3070
594,400,3092
612,400,3119
630,402,3143
650,406,3157
668,408,3184
684,410,3208
698,412,3233
712,412,3258
722,412,3272
732,412,3297
738,412,3322
744,412,3350
750,412,3373
752,412,3402
754,412,3412
